currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:32",01.07.2026,"Șișcani h",51
"01.07.2026 23:32",01.07.2026,"Șișcani h",51
"01.07.2026 23:32",01.07.2026,"Șișcani h",51
"01.07.2026 23:32",01.07.2026,"Șișcani h",51
"01.07.2026 23:32",01.07.2026,"Șișcani h",51
"02.07.2026 23:23",02.07.2026,"Șișcani h",59
"02.07.2026 23:23",02.07.2026,"Șișcani h",59
"02.07.2026 23:23",02.07.2026,"Șișcani h",59
"02.07.2026 23:23",02.07.2026,"Șișcani h",59
"02.07.2026 23:23",02.07.2026,"Șișcani h",59
"03.07.2026 22:22",03.07.2026,"Șișcani h",104
"03.07.2026 22:22",03.07.2026,"Șișcani h",104
"03.07.2026 22:22",03.07.2026,"Șișcani h",104
"03.07.2026 22:22",03.07.2026,"Șișcani h",104
"03.07.2026 22:22",03.07.2026,"Șișcani h",104
"04.07.2026 23:09",04.07.2026,"Șișcani h",33
