currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:19",03.08.2026,"Bogdana h",91
"04.08.2026 06:19",03.08.2026,"Bogdana h",91
"04.08.2026 06:19",03.08.2026,"Bogdana h",91
"05.08.2026 09:09",04.08.2026,"Bogdana h",91
"05.08.2026 09:09",04.08.2026,"Bogdana h",91
"05.08.2026 09:09",04.08.2026,"Bogdana h",91
"05.08.2026 22:31",05.08.2026,"Bogdana h",170
"05.08.2026 22:31",05.08.2026,"Bogdana h",170
"05.08.2026 22:31",05.08.2026,"Bogdana h",170
"05.08.2026 22:31",05.08.2026,"Bogdana h",170
"07.08.2026 00:32",06.08.2026,"Bogdana h",338
"07.08.2026 00:32",06.08.2026,"Bogdana h",338
"07.08.2026 00:32",06.08.2026,"Bogdana h",338
"07.08.2026 00:32",06.08.2026,"Bogdana h",338
"07.08.2026 00:32",06.08.2026,"Bogdana h",338
"07.08.2026 22:00",07.08.2026,"Bogdana h",127
"07.08.2026 22:00",07.08.2026,"Bogdana h",127
"07.08.2026 22:00",07.08.2026,"Bogdana h",127
"07.08.2026 22:00",07.08.2026,"Bogdana h",127
"07.08.2026 22:00",07.08.2026,"Bogdana h",127
"07.08.2026 22:00",07.08.2026,"Bogdana h",127
"08.08.2026 21:40",08.08.2026,"Bogdana h",45
"08.08.2026 21:40",08.08.2026,"Bogdana h",45
"08.08.2026 21:40",08.08.2026,"Bogdana h",45
"08.08.2026 21:40",08.08.2026,"Bogdana h",45
"09.08.2026 22:03",09.08.2026,"Bogdana h",70
"09.08.2026 22:03",09.08.2026,"Bogdana h",70
"09.08.2026 22:03",09.08.2026,"Bogdana h",70
"09.08.2026 22:03",09.08.2026,"Bogdana h",70
"09.08.2026 22:03",09.08.2026,"Bogdana h",70
"09.08.2026 22:03",09.08.2026,"Bogdana h",70
"10.08.2026 21:52",10.08.2026,"Bogdana h",54
"10.08.2026 21:52",10.08.2026,"Bogdana h",54
"10.08.2026 21:52",10.08.2026,"Bogdana h",54
"10.08.2026 21:52",10.08.2026,"Bogdana h",54
"10.08.2026 21:52",10.08.2026,"Bogdana h",54
"10.08.2026 21:52",10.08.2026,"Bogdana h",54
"11.08.2026 22:21",11.08.2026,"Bogdana h",75
"11.08.2026 22:21",11.08.2026,"Bogdana h",75
"11.08.2026 22:21",11.08.2026,"Bogdana h",75
"11.08.2026 22:21",11.08.2026,"Bogdana h",75
"11.08.2026 22:21",11.08.2026,"Bogdana h",75
"11.08.2026 22:21",11.08.2026,"Bogdana h",75
"12.08.2026 22:19",12.08.2026,"Bogdana h",89
"12.08.2026 22:19",12.08.2026,"Bogdana h",89
"12.08.2026 22:19",12.08.2026,"Bogdana h",89
"12.08.2026 22:19",12.08.2026,"Bogdana h",89
"12.08.2026 22:19",12.08.2026,"Bogdana h",89
"12.08.2026 22:19",12.08.2026,"Bogdana h",89
"13.08.2026 21:56",13.08.2026,"Bogdana h",112
"13.08.2026 21:56",13.08.2026,"Bogdana h",112
"13.08.2026 21:56",13.08.2026,"Bogdana h",112
"13.08.2026 21:56",13.08.2026,"Bogdana h",112
"13.08.2026 21:56",13.08.2026,"Bogdana h",112
"13.08.2026 21:56",13.08.2026,"Bogdana h",112
"14.08.2026 21:56",14.08.2026,"Bogdana h",56
"14.08.2026 21:56",14.08.2026,"Bogdana h",56
"14.08.2026 21:56",14.08.2026,"Bogdana h",56
"14.08.2026 21:56",14.08.2026,"Bogdana h",56
"14.08.2026 21:56",14.08.2026,"Bogdana h",56
"14.08.2026 21:56",14.08.2026,"Bogdana h",56
"15.08.2026 21:49",15.08.2026,"Bogdana h",78
"15.08.2026 21:49",15.08.2026,"Bogdana h",78
"15.08.2026 21:49",15.08.2026,"Bogdana h",78
"15.08.2026 21:49",15.08.2026,"Bogdana h",78
"15.08.2026 21:49",15.08.2026,"Bogdana h",78
"15.08.2026 21:49",15.08.2026,"Bogdana h",78
"16.08.2026 21:41",16.08.2026,"Bogdana h",55
"16.08.2026 21:41",16.08.2026,"Bogdana h",55
"16.08.2026 21:41",16.08.2026,"Bogdana h",55
"16.08.2026 21:41",16.08.2026,"Bogdana h",55
"16.08.2026 21:41",16.08.2026,"Bogdana h",55
"16.08.2026 21:41",16.08.2026,"Bogdana h",55
"17.08.2026 21:35",17.08.2026,"Bogdana h",75
"17.08.2026 21:35",17.08.2026,"Bogdana h",75
"17.08.2026 21:35",17.08.2026,"Bogdana h",75
"17.08.2026 21:35",17.08.2026,"Bogdana h",75
"17.08.2026 21:35",17.08.2026,"Bogdana h",75
"17.08.2026 21:35",17.08.2026,"Bogdana h",75
"18.08.2026 21:46",18.08.2026,"Bogdana h",120
"18.08.2026 21:46",18.08.2026,"Bogdana h",120
"18.08.2026 21:46",18.08.2026,"Bogdana h",120
"18.08.2026 21:46",18.08.2026,"Bogdana h",120
"18.08.2026 21:46",18.08.2026,"Bogdana h",120
"18.08.2026 21:46",18.08.2026,"Bogdana h",120
"19.08.2026 21:57",19.08.2026,"Bogdana h",181
"19.08.2026 21:57",19.08.2026,"Bogdana h",181
"19.08.2026 21:57",19.08.2026,"Bogdana h",181
"19.08.2026 21:57",19.08.2026,"Bogdana h",181
"19.08.2026 21:57",19.08.2026,"Bogdana h",181
"19.08.2026 21:57",19.08.2026,"Bogdana h",181
"20.08.2026 21:48",20.08.2026,"Bogdana h",79
"20.08.2026 21:48",20.08.2026,"Bogdana h",79
"20.08.2026 21:48",20.08.2026,"Bogdana h",79
"20.08.2026 21:48",20.08.2026,"Bogdana h",79
"20.08.2026 21:48",20.08.2026,"Bogdana h",79
"20.08.2026 21:48",20.08.2026,"Bogdana h",79
"21.08.2026 21:55",21.08.2026,"Bogdana h",92
"21.08.2026 21:55",21.08.2026,"Bogdana h",92
"21.08.2026 21:55",21.08.2026,"Bogdana h",92
"21.08.2026 21:55",21.08.2026,"Bogdana h",92
"21.08.2026 21:55",21.08.2026,"Bogdana h",92
"21.08.2026 21:55",21.08.2026,"Bogdana h",92
"22.08.2026 21:31",22.08.2026,"Bogdana h",47
"22.08.2026 21:31",22.08.2026,"Bogdana h",47
"22.08.2026 21:31",22.08.2026,"Bogdana h",47
"22.08.2026 21:31",22.08.2026,"Bogdana h",47
"22.08.2026 21:31",22.08.2026,"Bogdana h",47
"22.08.2026 21:31",22.08.2026,"Bogdana h",47
"23.08.2026 21:52",23.08.2026,"Bogdana h",64
