currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:22",03.08.2026,"Budăi hc",112
"04.08.2026 06:22",03.08.2026,"Budăi hc",112
"04.08.2026 06:22",03.08.2026,"Budăi hc",112
"05.08.2026 09:12",04.08.2026,"Budăi hc",71
"05.08.2026 09:12",04.08.2026,"Budăi hc",71
"05.08.2026 09:12",04.08.2026,"Budăi hc",71
"05.08.2026 22:33",05.08.2026,"Budăi hc",188
"05.08.2026 22:33",05.08.2026,"Budăi hc",188
"05.08.2026 22:33",05.08.2026,"Budăi hc",188
"05.08.2026 22:33",05.08.2026,"Budăi hc",188
"07.08.2026 00:35",06.08.2026,"Budăi hc",125
"07.08.2026 00:35",06.08.2026,"Budăi hc",125
"07.08.2026 00:35",06.08.2026,"Budăi hc",125
"07.08.2026 00:35",06.08.2026,"Budăi hc",125
"07.08.2026 00:35",06.08.2026,"Budăi hc",125
"07.08.2026 22:02",07.08.2026,"Budăi hc",20
"07.08.2026 22:02",07.08.2026,"Budăi hc",20
"07.08.2026 22:02",07.08.2026,"Budăi hc",20
"07.08.2026 22:02",07.08.2026,"Budăi hc",20
"07.08.2026 22:02",07.08.2026,"Budăi hc",20
"07.08.2026 22:02",07.08.2026,"Budăi hc",20
"08.08.2026 21:40",08.08.2026,"Budăi hc",20
"08.08.2026 21:40",08.08.2026,"Budăi hc",20
"08.08.2026 21:40",08.08.2026,"Budăi hc",20
"08.08.2026 21:40",08.08.2026,"Budăi hc",20
"09.08.2026 22:05",09.08.2026,"Budăi hc",49
"09.08.2026 22:05",09.08.2026,"Budăi hc",49
"09.08.2026 22:05",09.08.2026,"Budăi hc",49
"09.08.2026 22:05",09.08.2026,"Budăi hc",49
"09.08.2026 22:05",09.08.2026,"Budăi hc",49
"09.08.2026 22:05",09.08.2026,"Budăi hc",49
"10.08.2026 21:52",10.08.2026,"Budăi hc",59
"10.08.2026 21:52",10.08.2026,"Budăi hc",59
"10.08.2026 21:52",10.08.2026,"Budăi hc",59
"10.08.2026 21:52",10.08.2026,"Budăi hc",59
"10.08.2026 21:52",10.08.2026,"Budăi hc",59
"10.08.2026 21:52",10.08.2026,"Budăi hc",59
"11.08.2026 22:24",11.08.2026,"Budăi hc",83
"11.08.2026 22:24",11.08.2026,"Budăi hc",83
"11.08.2026 22:24",11.08.2026,"Budăi hc",83
"11.08.2026 22:24",11.08.2026,"Budăi hc",83
"11.08.2026 22:24",11.08.2026,"Budăi hc",83
"11.08.2026 22:24",11.08.2026,"Budăi hc",83
"12.08.2026 22:21",12.08.2026,"Budăi hc",33
"12.08.2026 22:21",12.08.2026,"Budăi hc",33
"12.08.2026 22:21",12.08.2026,"Budăi hc",33
"12.08.2026 22:21",12.08.2026,"Budăi hc",33
"12.08.2026 22:21",12.08.2026,"Budăi hc",33
"12.08.2026 22:21",12.08.2026,"Budăi hc",33
"13.08.2026 21:57",13.08.2026,"Budăi hc",50
"13.08.2026 21:57",13.08.2026,"Budăi hc",50
"13.08.2026 21:57",13.08.2026,"Budăi hc",50
"13.08.2026 21:57",13.08.2026,"Budăi hc",50
"13.08.2026 21:57",13.08.2026,"Budăi hc",50
