currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:30",03.08.2026,"Daești Hm",181
"04.08.2026 06:30",03.08.2026,"Daești Hm",181
"04.08.2026 06:30",03.08.2026,"Daești Hm",181
"05.08.2026 09:20",04.08.2026,"Daești Hm",247
"05.08.2026 09:20",04.08.2026,"Daești Hm",247
"05.08.2026 09:20",04.08.2026,"Daești Hm",247
"05.08.2026 22:38",05.08.2026,"Daești Hm",142
"05.08.2026 22:38",05.08.2026,"Daești Hm",142
"05.08.2026 22:38",05.08.2026,"Daești Hm",142
"05.08.2026 22:38",05.08.2026,"Daești Hm",142
"07.08.2026 00:44",06.08.2026,"Daești Hm",103
"07.08.2026 00:44",06.08.2026,"Daești Hm",103
"07.08.2026 00:44",06.08.2026,"Daești Hm",103
"07.08.2026 00:44",06.08.2026,"Daești Hm",103
"07.08.2026 00:44",06.08.2026,"Daești Hm",103
"07.08.2026 22:07",07.08.2026,"Daești Hm",78
"07.08.2026 22:07",07.08.2026,"Daești Hm",78
"07.08.2026 22:07",07.08.2026,"Daești Hm",78
"07.08.2026 22:07",07.08.2026,"Daești Hm",78
"07.08.2026 22:07",07.08.2026,"Daești Hm",78
"07.08.2026 22:07",07.08.2026,"Daești Hm",78
"08.08.2026 21:42",08.08.2026,"Daești Hm",78
"08.08.2026 21:42",08.08.2026,"Daești Hm",78
"08.08.2026 21:42",08.08.2026,"Daești Hm",78
"08.08.2026 21:42",08.08.2026,"Daești Hm",78
"09.08.2026 22:12",09.08.2026,"Daești Hm",7
"09.08.2026 22:12",09.08.2026,"Daești Hm",7
"09.08.2026 22:12",09.08.2026,"Daești Hm",7
"09.08.2026 22:12",09.08.2026,"Daești Hm",7
"09.08.2026 22:12",09.08.2026,"Daești Hm",7
"09.08.2026 22:12",09.08.2026,"Daești Hm",7
"10.08.2026 21:54",10.08.2026,"Daești Hm",45
"10.08.2026 21:54",10.08.2026,"Daești Hm",45
"10.08.2026 21:54",10.08.2026,"Daești Hm",45
"10.08.2026 21:54",10.08.2026,"Daești Hm",45
"10.08.2026 21:54",10.08.2026,"Daești Hm",45
"10.08.2026 21:54",10.08.2026,"Daești Hm",45
"11.08.2026 22:32",11.08.2026,"Daești Hm",43
"11.08.2026 22:32",11.08.2026,"Daești Hm",43
