currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:33",03.08.2026,"Ferma Ciala H",177
"04.08.2026 06:33",03.08.2026,"Ferma Ciala H",177
"04.08.2026 06:33",03.08.2026,"Ferma Ciala H",177
"05.08.2026 09:24",04.08.2026,"Ferma Ciala H",102
"05.08.2026 09:24",04.08.2026,"Ferma Ciala H",102
"05.08.2026 09:24",04.08.2026,"Ferma Ciala H",102
"05.08.2026 22:40",05.08.2026,"Ferma Ciala H",100
"05.08.2026 22:40",05.08.2026,"Ferma Ciala H",100
"05.08.2026 22:40",05.08.2026,"Ferma Ciala H",100
"05.08.2026 22:40",05.08.2026,"Ferma Ciala H",100
"07.08.2026 00:47",06.08.2026,"Ferma Ciala H",290
"07.08.2026 00:47",06.08.2026,"Ferma Ciala H",290
"07.08.2026 00:47",06.08.2026,"Ferma Ciala H",290
"07.08.2026 00:47",06.08.2026,"Ferma Ciala H",290
"07.08.2026 00:47",06.08.2026,"Ferma Ciala H",290
"07.08.2026 22:09",07.08.2026,"Ferma Ciala H",140
"07.08.2026 22:09",07.08.2026,"Ferma Ciala H",140
"07.08.2026 22:09",07.08.2026,"Ferma Ciala H",140
"07.08.2026 22:09",07.08.2026,"Ferma Ciala H",140
"07.08.2026 22:09",07.08.2026,"Ferma Ciala H",140
"07.08.2026 22:09",07.08.2026,"Ferma Ciala H",140
"08.08.2026 21:42",08.08.2026,"Ferma Ciala H",81
"08.08.2026 21:42",08.08.2026,"Ferma Ciala H",81
"08.08.2026 21:42",08.08.2026,"Ferma Ciala H",81
"08.08.2026 21:42",08.08.2026,"Ferma Ciala H",81
"09.08.2026 22:15",09.08.2026,"Ferma Ciala H",124
"09.08.2026 22:15",09.08.2026,"Ferma Ciala H",124
"09.08.2026 22:15",09.08.2026,"Ferma Ciala H",124
"09.08.2026 22:15",09.08.2026,"Ferma Ciala H",124
"09.08.2026 22:15",09.08.2026,"Ferma Ciala H",124
"09.08.2026 22:15",09.08.2026,"Ferma Ciala H",124
"10.08.2026 21:55",10.08.2026,"Ferma Ciala H",47
"10.08.2026 21:55",10.08.2026,"Ferma Ciala H",47
"10.08.2026 21:55",10.08.2026,"Ferma Ciala H",47
"10.08.2026 21:55",10.08.2026,"Ferma Ciala H",47
"10.08.2026 21:55",10.08.2026,"Ferma Ciala H",47
"10.08.2026 21:55",10.08.2026,"Ferma Ciala H",47
"11.08.2026 22:35",11.08.2026,"Ferma Ciala H",156
"11.08.2026 22:35",11.08.2026,"Ferma Ciala H",156
"11.08.2026 22:35",11.08.2026,"Ferma Ciala H",156
"11.08.2026 22:35",11.08.2026,"Ferma Ciala H",156
"11.08.2026 22:35",11.08.2026,"Ferma Ciala H",156
"11.08.2026 22:35",11.08.2026,"Ferma Ciala H",156
"12.08.2026 22:33",12.08.2026,"Ferma Ciala H",37
"12.08.2026 22:33",12.08.2026,"Ferma Ciala H",37
"12.08.2026 22:33",12.08.2026,"Ferma Ciala H",37
"12.08.2026 22:33",12.08.2026,"Ferma Ciala H",37
"12.08.2026 22:33",12.08.2026,"Ferma Ciala H",37
"12.08.2026 22:33",12.08.2026,"Ferma Ciala H",37
"13.08.2026 21:59",13.08.2026,"Ferma Ciala H",52
"13.08.2026 21:59",13.08.2026,"Ferma Ciala H",52
"13.08.2026 21:59",13.08.2026,"Ferma Ciala H",52
"13.08.2026 21:59",13.08.2026,"Ferma Ciala H",52
"13.08.2026 21:59",13.08.2026,"Ferma Ciala H",52
"13.08.2026 21:59",13.08.2026,"Ferma Ciala H",52
"14.08.2026 22:10",14.08.2026,"Ferma Ciala H",24
"14.08.2026 22:10",14.08.2026,"Ferma Ciala H",24
