currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:41",03.08.2026,"Leordina hc",43
"04.08.2026 06:41",03.08.2026,"Leordina hc",43
"04.08.2026 06:41",03.08.2026,"Leordina hc",43
"05.08.2026 09:31",04.08.2026,"Leordina hc",30
"05.08.2026 09:31",04.08.2026,"Leordina hc",30
"05.08.2026 09:31",04.08.2026,"Leordina hc",30
"05.08.2026 22:44",05.08.2026,"Leordina hc",23
"05.08.2026 22:44",05.08.2026,"Leordina hc",23
"05.08.2026 22:44",05.08.2026,"Leordina hc",23
"05.08.2026 22:44",05.08.2026,"Leordina hc",23
"07.08.2026 00:55",06.08.2026,"Leordina hc",12
"07.08.2026 00:55",06.08.2026,"Leordina hc",12
"07.08.2026 00:55",06.08.2026,"Leordina hc",12
