currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:42",03.08.2026,"Livezi Ciuc",145
"04.08.2026 06:42",03.08.2026,"Livezi Ciuc",145
"04.08.2026 06:42",03.08.2026,"Livezi Ciuc",145
"05.08.2026 09:32",04.08.2026,"Livezi Ciuc",52
"05.08.2026 09:32",04.08.2026,"Livezi Ciuc",52
"05.08.2026 09:32",04.08.2026,"Livezi Ciuc",52
"05.08.2026 22:45",05.08.2026,"Livezi Ciuc",462
"05.08.2026 22:45",05.08.2026,"Livezi Ciuc",462
"05.08.2026 22:45",05.08.2026,"Livezi Ciuc",462
"05.08.2026 22:45",05.08.2026,"Livezi Ciuc",462
"07.08.2026 00:55",06.08.2026,"Livezi Ciuc",668
"07.08.2026 00:55",06.08.2026,"Livezi Ciuc",668
"07.08.2026 00:55",06.08.2026,"Livezi Ciuc",668
"07.08.2026 00:55",06.08.2026,"Livezi Ciuc",668
"07.08.2026 00:55",06.08.2026,"Livezi Ciuc",668
"07.08.2026 22:15",07.08.2026,"Livezi Ciuc",92
"07.08.2026 22:15",07.08.2026,"Livezi Ciuc",92
"07.08.2026 22:15",07.08.2026,"Livezi Ciuc",92
"07.08.2026 22:15",07.08.2026,"Livezi Ciuc",92
"07.08.2026 22:15",07.08.2026,"Livezi Ciuc",92
"07.08.2026 22:15",07.08.2026,"Livezi Ciuc",92
"08.08.2026 21:44",08.08.2026,"Livezi Ciuc",59
"08.08.2026 21:44",08.08.2026,"Livezi Ciuc",59
"08.08.2026 21:44",08.08.2026,"Livezi Ciuc",59
"08.08.2026 21:44",08.08.2026,"Livezi Ciuc",59
"09.08.2026 22:23",09.08.2026,"Livezi Ciuc",69
"09.08.2026 22:23",09.08.2026,"Livezi Ciuc",69
"09.08.2026 22:23",09.08.2026,"Livezi Ciuc",69
"09.08.2026 22:23",09.08.2026,"Livezi Ciuc",69
"09.08.2026 22:23",09.08.2026,"Livezi Ciuc",69
"09.08.2026 22:23",09.08.2026,"Livezi Ciuc",69
"10.08.2026 21:56",10.08.2026,"Livezi Ciuc",123
"10.08.2026 21:56",10.08.2026,"Livezi Ciuc",123
"10.08.2026 21:56",10.08.2026,"Livezi Ciuc",123
"10.08.2026 21:56",10.08.2026,"Livezi Ciuc",123
"10.08.2026 21:56",10.08.2026,"Livezi Ciuc",123
"10.08.2026 21:56",10.08.2026,"Livezi Ciuc",123
