currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:43",03.08.2026,"Mareșal Constantin Prezan",3
"04.08.2026 06:43",03.08.2026,"Mareșal Constantin Prezan",3
"04.08.2026 06:43",03.08.2026,"Mareșal Constantin Prezan",3
"05.08.2026 09:33",04.08.2026,"Mareșal Constantin Prezan",0
"05.08.2026 09:33",04.08.2026,"Mareșal Constantin Prezan",0
"05.08.2026 09:33",04.08.2026,"Mareșal Constantin Prezan",0
"05.08.2026 22:46",05.08.2026,"Mareșal Constantin Prezan",0
"05.08.2026 22:46",05.08.2026,"Mareșal Constantin Prezan",0
"05.08.2026 22:46",05.08.2026,"Mareșal Constantin Prezan",0
"05.08.2026 22:46",05.08.2026,"Mareșal Constantin Prezan",0
"07.08.2026 00:57",06.08.2026,"Mareșal Constantin Prezan",20
"07.08.2026 00:57",06.08.2026,"Mareșal Constantin Prezan",20
"07.08.2026 00:57",06.08.2026,"Mareșal Constantin Prezan",20
"07.08.2026 00:57",06.08.2026,"Mareșal Constantin Prezan",20
"07.08.2026 00:57",06.08.2026,"Mareșal Constantin Prezan",20
"07.08.2026 22:15",07.08.2026,"Mareșal Constantin Prezan",99
"07.08.2026 22:15",07.08.2026,"Mareșal Constantin Prezan",99
"07.08.2026 22:15",07.08.2026,"Mareșal Constantin Prezan",99
"07.08.2026 22:15",07.08.2026,"Mareșal Constantin Prezan",99
"07.08.2026 22:15",07.08.2026,"Mareșal Constantin Prezan",99
"07.08.2026 22:15",07.08.2026,"Mareșal Constantin Prezan",99
"08.08.2026 21:44",08.08.2026,"Mareșal Constantin Prezan",10
"08.08.2026 21:44",08.08.2026,"Mareșal Constantin Prezan",10
"08.08.2026 21:44",08.08.2026,"Mareșal Constantin Prezan",10
"08.08.2026 21:44",08.08.2026,"Mareșal Constantin Prezan",10
"09.08.2026 22:24",09.08.2026,"Mareșal Constantin Prezan",15
"09.08.2026 22:24",09.08.2026,"Mareșal Constantin Prezan",15
"09.08.2026 22:24",09.08.2026,"Mareșal Constantin Prezan",15
"09.08.2026 22:24",09.08.2026,"Mareșal Constantin Prezan",15
"09.08.2026 22:24",09.08.2026,"Mareșal Constantin Prezan",15
"09.08.2026 22:24",09.08.2026,"Mareșal Constantin Prezan",15
"10.08.2026 21:56",10.08.2026,"Mareșal Constantin Prezan",0
"10.08.2026 21:56",10.08.2026,"Mareșal Constantin Prezan",0
"10.08.2026 21:56",10.08.2026,"Mareșal Constantin Prezan",0
"10.08.2026 21:56",10.08.2026,"Mareșal Constantin Prezan",0
"10.08.2026 21:56",10.08.2026,"Mareșal Constantin Prezan",0
"10.08.2026 21:56",10.08.2026,"Mareșal Constantin Prezan",0
"11.08.2026 22:45",11.08.2026,"Mareșal Constantin Prezan",154
"11.08.2026 22:45",11.08.2026,"Mareșal Constantin Prezan",154
"11.08.2026 22:45",11.08.2026,"Mareșal Constantin Prezan",154
"11.08.2026 22:45",11.08.2026,"Mareșal Constantin Prezan",154
"11.08.2026 22:45",11.08.2026,"Mareșal Constantin Prezan",154
"11.08.2026 22:45",11.08.2026,"Mareșal Constantin Prezan",154
"12.08.2026 22:43",12.08.2026,"Mareșal Constantin Prezan",9
"12.08.2026 22:43",12.08.2026,"Mareșal Constantin Prezan",9
"12.08.2026 22:43",12.08.2026,"Mareșal Constantin Prezan",9
"12.08.2026 22:43",12.08.2026,"Mareșal Constantin Prezan",9
"12.08.2026 22:43",12.08.2026,"Mareșal Constantin Prezan",9
"12.08.2026 22:43",12.08.2026,"Mareșal Constantin Prezan",9
"13.08.2026 22:00",13.08.2026,"Mareșal Constantin Prezan",0
"13.08.2026 22:00",13.08.2026,"Mareșal Constantin Prezan",0
"13.08.2026 22:00",13.08.2026,"Mareșal Constantin Prezan",0
"13.08.2026 22:00",13.08.2026,"Mareșal Constantin Prezan",0
"13.08.2026 22:00",13.08.2026,"Mareșal Constantin Prezan",0
"13.08.2026 22:00",13.08.2026,"Mareșal Constantin Prezan",0
"14.08.2026 22:20",14.08.2026,"Mareșal Constantin Prezan",142
"14.08.2026 22:20",14.08.2026,"Mareșal Constantin Prezan",142
"14.08.2026 22:20",14.08.2026,"Mareșal Constantin Prezan",142
"14.08.2026 22:20",14.08.2026,"Mareșal Constantin Prezan",142
"14.08.2026 22:20",14.08.2026,"Mareșal Constantin Prezan",142
"14.08.2026 22:20",14.08.2026,"Mareșal Constantin Prezan",142
"15.08.2026 22:11",15.08.2026,"Mareșal Constantin Prezan",9
"15.08.2026 22:11",15.08.2026,"Mareșal Constantin Prezan",9
"15.08.2026 22:11",15.08.2026,"Mareșal Constantin Prezan",9
"15.08.2026 22:11",15.08.2026,"Mareșal Constantin Prezan",9
"15.08.2026 22:11",15.08.2026,"Mareșal Constantin Prezan",9
"15.08.2026 22:11",15.08.2026,"Mareșal Constantin Prezan",9
"16.08.2026 21:55",16.08.2026,"Mareșal Constantin Prezan",0
"16.08.2026 21:55",16.08.2026,"Mareșal Constantin Prezan",0
"16.08.2026 21:55",16.08.2026,"Mareșal Constantin Prezan",0
"16.08.2026 21:55",16.08.2026,"Mareșal Constantin Prezan",0
"16.08.2026 21:55",16.08.2026,"Mareșal Constantin Prezan",0
"16.08.2026 21:55",16.08.2026,"Mareșal Constantin Prezan",0
"17.08.2026 21:40",17.08.2026,"Mareșal Constantin Prezan",274
"17.08.2026 21:40",17.08.2026,"Mareșal Constantin Prezan",274
"17.08.2026 21:40",17.08.2026,"Mareșal Constantin Prezan",274
"17.08.2026 21:40",17.08.2026,"Mareșal Constantin Prezan",274
"17.08.2026 21:40",17.08.2026,"Mareșal Constantin Prezan",274
"17.08.2026 21:40",17.08.2026,"Mareșal Constantin Prezan",274
"18.08.2026 22:00",18.08.2026,"Mareșal Constantin Prezan",9
"18.08.2026 22:00",18.08.2026,"Mareșal Constantin Prezan",9
"18.08.2026 22:00",18.08.2026,"Mareșal Constantin Prezan",9
"18.08.2026 22:00",18.08.2026,"Mareșal Constantin Prezan",9
"18.08.2026 22:00",18.08.2026,"Mareșal Constantin Prezan",9
"18.08.2026 22:00",18.08.2026,"Mareșal Constantin Prezan",9
"19.08.2026 22:21",19.08.2026,"Mareșal Constantin Prezan",5
"19.08.2026 22:21",19.08.2026,"Mareșal Constantin Prezan",5
"19.08.2026 22:21",19.08.2026,"Mareșal Constantin Prezan",5
"19.08.2026 22:21",19.08.2026,"Mareșal Constantin Prezan",5
"19.08.2026 22:21",19.08.2026,"Mareșal Constantin Prezan",5
"19.08.2026 22:21",19.08.2026,"Mareșal Constantin Prezan",5
"20.08.2026 22:03",20.08.2026,"Mareșal Constantin Prezan",2
"20.08.2026 22:03",20.08.2026,"Mareșal Constantin Prezan",2
"20.08.2026 22:03",20.08.2026,"Mareșal Constantin Prezan",2
"20.08.2026 22:03",20.08.2026,"Mareșal Constantin Prezan",2
"20.08.2026 22:03",20.08.2026,"Mareșal Constantin Prezan",2
"20.08.2026 22:03",20.08.2026,"Mareșal Constantin Prezan",2
"21.08.2026 22:19",21.08.2026,"Mareșal Constantin Prezan",11
"21.08.2026 22:19",21.08.2026,"Mareșal Constantin Prezan",11
"21.08.2026 22:19",21.08.2026,"Mareșal Constantin Prezan",11
