currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:49",03.08.2026,"Paloș Ardeal hc",263
"04.08.2026 06:49",03.08.2026,"Paloș Ardeal hc",263
"04.08.2026 06:49",03.08.2026,"Paloș Ardeal hc",263
"05.08.2026 09:40",04.08.2026,"Paloș Ardeal hc",275
"05.08.2026 09:40",04.08.2026,"Paloș Ardeal hc",275
"05.08.2026 09:40",04.08.2026,"Paloș Ardeal hc",275
"05.08.2026 22:50",05.08.2026,"Paloș Ardeal hc",346
"05.08.2026 22:50",05.08.2026,"Paloș Ardeal hc",346
"05.08.2026 22:50",05.08.2026,"Paloș Ardeal hc",346
"05.08.2026 22:50",05.08.2026,"Paloș Ardeal hc",346
"07.08.2026 01:03",06.08.2026,"Paloș Ardeal hc",130
"07.08.2026 01:03",06.08.2026,"Paloș Ardeal hc",130
"07.08.2026 01:03",06.08.2026,"Paloș Ardeal hc",130
"07.08.2026 01:03",06.08.2026,"Paloș Ardeal hc",130
"07.08.2026 01:03",06.08.2026,"Paloș Ardeal hc",130
"07.08.2026 22:19",07.08.2026,"Paloș Ardeal hc",139
"07.08.2026 22:19",07.08.2026,"Paloș Ardeal hc",139
"07.08.2026 22:19",07.08.2026,"Paloș Ardeal hc",139
"07.08.2026 22:19",07.08.2026,"Paloș Ardeal hc",139
"07.08.2026 22:19",07.08.2026,"Paloș Ardeal hc",139
"07.08.2026 22:19",07.08.2026,"Paloș Ardeal hc",139
"08.08.2026 21:45",08.08.2026,"Paloș Ardeal hc",185
"08.08.2026 21:45",08.08.2026,"Paloș Ardeal hc",185
"08.08.2026 21:45",08.08.2026,"Paloș Ardeal hc",185
"08.08.2026 21:45",08.08.2026,"Paloș Ardeal hc",185
"09.08.2026 22:30",09.08.2026,"Paloș Ardeal hc",36
"09.08.2026 22:30",09.08.2026,"Paloș Ardeal hc",36
"09.08.2026 22:30",09.08.2026,"Paloș Ardeal hc",36
"09.08.2026 22:30",09.08.2026,"Paloș Ardeal hc",36
"09.08.2026 22:30",09.08.2026,"Paloș Ardeal hc",36
"09.08.2026 22:30",09.08.2026,"Paloș Ardeal hc",36
"10.08.2026 21:58",10.08.2026,"Paloș Ardeal hc",158
"10.08.2026 21:58",10.08.2026,"Paloș Ardeal hc",158
