currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:51",03.08.2026,"Pescăruș h",256
"04.08.2026 06:51",03.08.2026,"Pescăruș h",256
"04.08.2026 06:51",03.08.2026,"Pescăruș h",256
"05.08.2026 09:42",04.08.2026,"Pescăruș h",142
"05.08.2026 09:42",04.08.2026,"Pescăruș h",142
"05.08.2026 09:42",04.08.2026,"Pescăruș h",142
"05.08.2026 22:51",05.08.2026,"Pescăruș h",157
"05.08.2026 22:51",05.08.2026,"Pescăruș h",157
"05.08.2026 22:51",05.08.2026,"Pescăruș h",157
"05.08.2026 22:51",05.08.2026,"Pescăruș h",157
"07.08.2026 01:05",06.08.2026,"Pescăruș h",80
"07.08.2026 01:05",06.08.2026,"Pescăruș h",80
"07.08.2026 01:05",06.08.2026,"Pescăruș h",80
"07.08.2026 01:05",06.08.2026,"Pescăruș h",80
"07.08.2026 01:05",06.08.2026,"Pescăruș h",80
