currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:08",03.08.2026,"Reșița Sud",218
"04.08.2026 06:08",03.08.2026,"Reșița Sud",218
"04.08.2026 06:08",03.08.2026,"Reșița Sud",218
"05.08.2026 08:58",04.08.2026,"Reșița Sud",108
"05.08.2026 08:58",04.08.2026,"Reșița Sud",108
"05.08.2026 08:58",04.08.2026,"Reșița Sud",108
"05.08.2026 22:24",05.08.2026,"Reșița Sud",34
"05.08.2026 22:24",05.08.2026,"Reșița Sud",34
"05.08.2026 22:24",05.08.2026,"Reșița Sud",34
"05.08.2026 22:24",05.08.2026,"Reșița Sud",34
"07.08.2026 00:21",06.08.2026,"Reșița Sud",151
"07.08.2026 00:21",06.08.2026,"Reșița Sud",151
"07.08.2026 00:21",06.08.2026,"Reșița Sud",151
"07.08.2026 00:21",06.08.2026,"Reșița Sud",151
"07.08.2026 00:21",06.08.2026,"Reșița Sud",151
"07.08.2026 21:53",07.08.2026,"Reșița Sud",40
"07.08.2026 21:53",07.08.2026,"Reșița Sud",40
"07.08.2026 21:53",07.08.2026,"Reșița Sud",40
"07.08.2026 21:53",07.08.2026,"Reșița Sud",40
