currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:55",03.08.2026,"Răchita Hm",57
"04.08.2026 06:55",03.08.2026,"Răchita Hm",57
"04.08.2026 06:55",03.08.2026,"Răchita Hm",57
"05.08.2026 09:46",04.08.2026,"Răchita Hm",21
"05.08.2026 09:46",04.08.2026,"Răchita Hm",21
"05.08.2026 09:46",04.08.2026,"Răchita Hm",21
"05.08.2026 22:53",05.08.2026,"Răchita Hm",44
"05.08.2026 22:53",05.08.2026,"Răchita Hm",44
"05.08.2026 22:53",05.08.2026,"Răchita Hm",44
"05.08.2026 22:53",05.08.2026,"Răchita Hm",44
"07.08.2026 01:09",06.08.2026,"Răchita Hm",24
"07.08.2026 01:09",06.08.2026,"Răchita Hm",24
"07.08.2026 01:09",06.08.2026,"Răchita Hm",24
"07.08.2026 01:09",06.08.2026,"Răchita Hm",24
"07.08.2026 01:09",06.08.2026,"Răchita Hm",24
"07.08.2026 22:23",07.08.2026,"Răchita Hm",17
"07.08.2026 22:23",07.08.2026,"Răchita Hm",17
"07.08.2026 22:23",07.08.2026,"Răchita Hm",17
"07.08.2026 22:23",07.08.2026,"Răchita Hm",17
"07.08.2026 22:23",07.08.2026,"Răchita Hm",17
"07.08.2026 22:23",07.08.2026,"Răchita Hm",17
"08.08.2026 21:47",08.08.2026,"Răchita Hm",4
"08.08.2026 21:47",08.08.2026,"Răchita Hm",4
"08.08.2026 21:47",08.08.2026,"Răchita Hm",4
"08.08.2026 21:47",08.08.2026,"Răchita Hm",4
"09.08.2026 22:36",09.08.2026,"Răchita Hm",8
"09.08.2026 22:36",09.08.2026,"Răchita Hm",8
"09.08.2026 22:36",09.08.2026,"Răchita Hm",8
"09.08.2026 22:36",09.08.2026,"Răchita Hm",8
"09.08.2026 22:36",09.08.2026,"Răchita Hm",8
"09.08.2026 22:36",09.08.2026,"Răchita Hm",8
"10.08.2026 21:59",10.08.2026,"Răchita Hm",24
