currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:55",03.08.2026,"Răpsig Hm",3
"04.08.2026 06:55",03.08.2026,"Răpsig Hm",3
"04.08.2026 06:55",03.08.2026,"Răpsig Hm",3
"05.08.2026 09:46",04.08.2026,"Răpsig Hm",275
"05.08.2026 09:46",04.08.2026,"Răpsig Hm",275
"05.08.2026 09:46",04.08.2026,"Răpsig Hm",275
"05.08.2026 22:54",05.08.2026,"Răpsig Hm",364
"05.08.2026 22:54",05.08.2026,"Răpsig Hm",364
"05.08.2026 22:54",05.08.2026,"Răpsig Hm",364
"05.08.2026 22:54",05.08.2026,"Răpsig Hm",364
"07.08.2026 01:09",06.08.2026,"Răpsig Hm",89
"07.08.2026 01:09",06.08.2026,"Răpsig Hm",89
"07.08.2026 01:09",06.08.2026,"Răpsig Hm",89
"07.08.2026 01:09",06.08.2026,"Răpsig Hm",89
"07.08.2026 01:09",06.08.2026,"Răpsig Hm",89
"07.08.2026 22:23",07.08.2026,"Răpsig Hm",13
"07.08.2026 22:23",07.08.2026,"Răpsig Hm",13
"07.08.2026 22:23",07.08.2026,"Răpsig Hm",13
"07.08.2026 22:23",07.08.2026,"Răpsig Hm",13
"07.08.2026 22:23",07.08.2026,"Răpsig Hm",13
"07.08.2026 22:23",07.08.2026,"Răpsig Hm",13
"08.08.2026 21:47",08.08.2026,"Răpsig Hm",0
"08.08.2026 21:47",08.08.2026,"Răpsig Hm",0
"08.08.2026 21:47",08.08.2026,"Răpsig Hm",0
"08.08.2026 21:47",08.08.2026,"Răpsig Hm",0
"09.08.2026 22:36",09.08.2026,"Răpsig Hm",0
"09.08.2026 22:36",09.08.2026,"Răpsig Hm",0
"09.08.2026 22:36",09.08.2026,"Răpsig Hm",0
"09.08.2026 22:36",09.08.2026,"Răpsig Hm",0
"09.08.2026 22:36",09.08.2026,"Răpsig Hm",0
"09.08.2026 22:36",09.08.2026,"Răpsig Hm",0
"10.08.2026 21:59",10.08.2026,"Răpsig Hm",6
"10.08.2026 21:59",10.08.2026,"Răpsig Hm",6
"10.08.2026 21:59",10.08.2026,"Răpsig Hm",6
"10.08.2026 21:59",10.08.2026,"Răpsig Hm",6
"10.08.2026 21:59",10.08.2026,"Răpsig Hm",6
"10.08.2026 21:59",10.08.2026,"Răpsig Hm",6
"11.08.2026 22:58",11.08.2026,"Răpsig Hm",62
"11.08.2026 22:58",11.08.2026,"Răpsig Hm",62
"11.08.2026 22:58",11.08.2026,"Răpsig Hm",62
"11.08.2026 22:58",11.08.2026,"Răpsig Hm",62
"11.08.2026 22:58",11.08.2026,"Răpsig Hm",62
"11.08.2026 22:58",11.08.2026,"Răpsig Hm",62
"12.08.2026 22:55",12.08.2026,"Răpsig Hm",0
"12.08.2026 22:55",12.08.2026,"Răpsig Hm",0
"12.08.2026 22:55",12.08.2026,"Răpsig Hm",0
"12.08.2026 22:55",12.08.2026,"Răpsig Hm",0
"12.08.2026 22:55",12.08.2026,"Răpsig Hm",0
"12.08.2026 22:55",12.08.2026,"Răpsig Hm",0
"13.08.2026 22:07",13.08.2026,"Răpsig Hm",13
"13.08.2026 22:07",13.08.2026,"Răpsig Hm",13
"13.08.2026 22:07",13.08.2026,"Răpsig Hm",13
