currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:01",03.08.2026,"Semenic Hm",36
"04.08.2026 07:01",03.08.2026,"Semenic Hm",36
"04.08.2026 07:01",03.08.2026,"Semenic Hm",36
"05.08.2026 09:51",04.08.2026,"Semenic Hm",137
"05.08.2026 09:51",04.08.2026,"Semenic Hm",137
"05.08.2026 09:51",04.08.2026,"Semenic Hm",137
"05.08.2026 22:57",05.08.2026,"Semenic Hm",154
"05.08.2026 22:57",05.08.2026,"Semenic Hm",154
"05.08.2026 22:57",05.08.2026,"Semenic Hm",154
"05.08.2026 22:57",05.08.2026,"Semenic Hm",154
"07.08.2026 01:15",06.08.2026,"Semenic Hm",81
"07.08.2026 01:15",06.08.2026,"Semenic Hm",81
"07.08.2026 01:15",06.08.2026,"Semenic Hm",81
"07.08.2026 01:15",06.08.2026,"Semenic Hm",81
