currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:10",03.08.2026,"Stamora Moravița",64
"04.08.2026 06:10",03.08.2026,"Stamora Moravița",64
"04.08.2026 06:10",03.08.2026,"Stamora Moravița",64
"05.08.2026 09:00",04.08.2026,"Stamora Moravița",66
"05.08.2026 09:00",04.08.2026,"Stamora Moravița",66
"05.08.2026 09:00",04.08.2026,"Stamora Moravița",66
"05.08.2026 22:25",05.08.2026,"Stamora Moravița",77
"05.08.2026 22:25",05.08.2026,"Stamora Moravița",77
"05.08.2026 22:25",05.08.2026,"Stamora Moravița",77
"05.08.2026 22:25",05.08.2026,"Stamora Moravița",77
"07.08.2026 00:23",06.08.2026,"Stamora Moravița",55
"07.08.2026 00:23",06.08.2026,"Stamora Moravița",55
"07.08.2026 00:23",06.08.2026,"Stamora Moravița",55
"07.08.2026 00:23",06.08.2026,"Stamora Moravița",55
"07.08.2026 00:23",06.08.2026,"Stamora Moravița",55
"07.08.2026 21:54",07.08.2026,"Stamora Moravița",55
"07.08.2026 21:54",07.08.2026,"Stamora Moravița",55
"07.08.2026 21:54",07.08.2026,"Stamora Moravița",55
"07.08.2026 21:54",07.08.2026,"Stamora Moravița",55
"07.08.2026 21:54",07.08.2026,"Stamora Moravița",55
"07.08.2026 21:54",07.08.2026,"Stamora Moravița",55
"08.08.2026 21:38",08.08.2026,"Stamora Moravița",6
"08.08.2026 21:38",08.08.2026,"Stamora Moravița",6
"08.08.2026 21:38",08.08.2026,"Stamora Moravița",6
"08.08.2026 21:38",08.08.2026,"Stamora Moravița",6
"09.08.2026 21:53",09.08.2026,"Stamora Moravița",0
"09.08.2026 21:53",09.08.2026,"Stamora Moravița",0
"09.08.2026 21:53",09.08.2026,"Stamora Moravița",0
"09.08.2026 21:53",09.08.2026,"Stamora Moravița",0
"09.08.2026 21:53",09.08.2026,"Stamora Moravița",0
"09.08.2026 21:53",09.08.2026,"Stamora Moravița",0
"10.08.2026 21:50",10.08.2026,"Stamora Moravița",17
"10.08.2026 21:50",10.08.2026,"Stamora Moravița",17
"10.08.2026 21:50",10.08.2026,"Stamora Moravița",17
"10.08.2026 21:50",10.08.2026,"Stamora Moravița",17
"10.08.2026 21:50",10.08.2026,"Stamora Moravița",17
