currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:03",03.08.2026,"Supur hc",48
"04.08.2026 07:03",03.08.2026,"Supur hc",48
"04.08.2026 07:03",03.08.2026,"Supur hc",48
"05.08.2026 09:54",04.08.2026,"Supur hc",46
"05.08.2026 09:54",04.08.2026,"Supur hc",46
"05.08.2026 09:54",04.08.2026,"Supur hc",46
"05.08.2026 22:58",05.08.2026,"Supur hc",161
"05.08.2026 22:58",05.08.2026,"Supur hc",161
"05.08.2026 22:58",05.08.2026,"Supur hc",161
"05.08.2026 22:58",05.08.2026,"Supur hc",161
"07.08.2026 01:17",06.08.2026,"Supur hc",137
"07.08.2026 01:17",06.08.2026,"Supur hc",137
"07.08.2026 01:17",06.08.2026,"Supur hc",137
"07.08.2026 01:17",06.08.2026,"Supur hc",137
"07.08.2026 01:17",06.08.2026,"Supur hc",137
"07.08.2026 22:28",07.08.2026,"Supur hc",35
"07.08.2026 22:28",07.08.2026,"Supur hc",35
"07.08.2026 22:28",07.08.2026,"Supur hc",35
"07.08.2026 22:28",07.08.2026,"Supur hc",35
"07.08.2026 22:28",07.08.2026,"Supur hc",35
"07.08.2026 22:28",07.08.2026,"Supur hc",35
"08.08.2026 21:48",08.08.2026,"Supur hc",64
"08.08.2026 21:48",08.08.2026,"Supur hc",64
"08.08.2026 21:48",08.08.2026,"Supur hc",64
"08.08.2026 21:48",08.08.2026,"Supur hc",64
"09.08.2026 22:43",09.08.2026,"Supur hc",9
"09.08.2026 22:43",09.08.2026,"Supur hc",9
"09.08.2026 22:43",09.08.2026,"Supur hc",9
"09.08.2026 22:43",09.08.2026,"Supur hc",9
"09.08.2026 22:43",09.08.2026,"Supur hc",9
"09.08.2026 22:43",09.08.2026,"Supur hc",9
"10.08.2026 22:00",10.08.2026,"Supur hc",19
"10.08.2026 22:00",10.08.2026,"Supur hc",19
"10.08.2026 22:00",10.08.2026,"Supur hc",19
"10.08.2026 22:00",10.08.2026,"Supur hc",19
"10.08.2026 22:00",10.08.2026,"Supur hc",19
"10.08.2026 22:00",10.08.2026,"Supur hc",19
"11.08.2026 23:05",11.08.2026,"Supur hc",94
"11.08.2026 23:05",11.08.2026,"Supur hc",94
"11.08.2026 23:05",11.08.2026,"Supur hc",94
"11.08.2026 23:05",11.08.2026,"Supur hc",94
"11.08.2026 23:05",11.08.2026,"Supur hc",94
"11.08.2026 23:05",11.08.2026,"Supur hc",94
"12.08.2026 23:03",12.08.2026,"Supur hc",82
"12.08.2026 23:03",12.08.2026,"Supur hc",82
"12.08.2026 23:03",12.08.2026,"Supur hc",82
"12.08.2026 23:03",12.08.2026,"Supur hc",82
"12.08.2026 23:03",12.08.2026,"Supur hc",82
"12.08.2026 23:03",12.08.2026,"Supur hc",82
"13.08.2026 22:13",13.08.2026,"Supur hc",0
"13.08.2026 22:13",13.08.2026,"Supur hc",0
"13.08.2026 22:13",13.08.2026,"Supur hc",0
"13.08.2026 22:13",13.08.2026,"Supur hc",0
"13.08.2026 22:13",13.08.2026,"Supur hc",0
"13.08.2026 22:13",13.08.2026,"Supur hc",0
"14.08.2026 22:40",14.08.2026,"Supur hc",32
