currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:00",03.08.2026,"Sântimbru hc",34
"04.08.2026 07:00",03.08.2026,"Sântimbru hc",34
"04.08.2026 07:00",03.08.2026,"Sântimbru hc",34
"05.08.2026 09:51",04.08.2026,"Sântimbru hc",44
"05.08.2026 09:51",04.08.2026,"Sântimbru hc",44
"05.08.2026 09:51",04.08.2026,"Sântimbru hc",44
"05.08.2026 22:57",05.08.2026,"Sântimbru hc",57
"05.08.2026 22:57",05.08.2026,"Sântimbru hc",57
"05.08.2026 22:57",05.08.2026,"Sântimbru hc",57
"05.08.2026 22:57",05.08.2026,"Sântimbru hc",57
"07.08.2026 01:14",06.08.2026,"Sântimbru hc",64
"07.08.2026 01:14",06.08.2026,"Sântimbru hc",64
"07.08.2026 01:14",06.08.2026,"Sântimbru hc",64
