currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:08",03.08.2026,"Turburea Hm",140
"04.08.2026 07:08",03.08.2026,"Turburea Hm",140
"04.08.2026 07:08",03.08.2026,"Turburea Hm",140
"05.08.2026 09:59",04.08.2026,"Turburea Hm",410
"05.08.2026 09:59",04.08.2026,"Turburea Hm",410
"05.08.2026 09:59",04.08.2026,"Turburea Hm",410
"05.08.2026 23:01",05.08.2026,"Turburea Hm",82
"05.08.2026 23:01",05.08.2026,"Turburea Hm",82
"05.08.2026 23:01",05.08.2026,"Turburea Hm",82
"05.08.2026 23:01",05.08.2026,"Turburea Hm",82
"07.08.2026 01:22",06.08.2026,"Turburea Hm",151
"07.08.2026 01:22",06.08.2026,"Turburea Hm",151
"07.08.2026 01:22",06.08.2026,"Turburea Hm",151
"07.08.2026 01:22",06.08.2026,"Turburea Hm",151
"07.08.2026 01:22",06.08.2026,"Turburea Hm",151
"07.08.2026 22:31",07.08.2026,"Turburea Hm",106
"07.08.2026 22:31",07.08.2026,"Turburea Hm",106
"07.08.2026 22:31",07.08.2026,"Turburea Hm",106
"07.08.2026 22:31",07.08.2026,"Turburea Hm",106
"07.08.2026 22:31",07.08.2026,"Turburea Hm",106
"07.08.2026 22:31",07.08.2026,"Turburea Hm",106
"08.08.2026 21:50",08.08.2026,"Turburea Hm",7
"08.08.2026 21:50",08.08.2026,"Turburea Hm",7
"08.08.2026 21:50",08.08.2026,"Turburea Hm",7
"08.08.2026 21:50",08.08.2026,"Turburea Hm",7
"09.08.2026 22:48",09.08.2026,"Turburea Hm",18
"09.08.2026 22:48",09.08.2026,"Turburea Hm",18
"09.08.2026 22:48",09.08.2026,"Turburea Hm",18
"09.08.2026 22:48",09.08.2026,"Turburea Hm",18
"09.08.2026 22:48",09.08.2026,"Turburea Hm",18
"09.08.2026 22:48",09.08.2026,"Turburea Hm",18
"10.08.2026 22:01",10.08.2026,"Turburea Hm",31
"10.08.2026 22:01",10.08.2026,"Turburea Hm",31
"10.08.2026 22:01",10.08.2026,"Turburea Hm",31
"10.08.2026 22:01",10.08.2026,"Turburea Hm",31
"10.08.2026 22:01",10.08.2026,"Turburea Hm",31
"10.08.2026 22:01",10.08.2026,"Turburea Hm",31
"11.08.2026 23:10",11.08.2026,"Turburea Hm",90
"11.08.2026 23:10",11.08.2026,"Turburea Hm",90
"11.08.2026 23:10",11.08.2026,"Turburea Hm",90
"11.08.2026 23:10",11.08.2026,"Turburea Hm",90
"11.08.2026 23:10",11.08.2026,"Turburea Hm",90
"11.08.2026 23:10",11.08.2026,"Turburea Hm",90
"12.08.2026 23:08",12.08.2026,"Turburea Hm",67
"12.08.2026 23:08",12.08.2026,"Turburea Hm",67
"12.08.2026 23:08",12.08.2026,"Turburea Hm",67
"12.08.2026 23:08",12.08.2026,"Turburea Hm",67
"12.08.2026 23:08",12.08.2026,"Turburea Hm",67
"12.08.2026 23:08",12.08.2026,"Turburea Hm",67
"13.08.2026 22:17",13.08.2026,"Turburea Hm",65
"13.08.2026 22:17",13.08.2026,"Turburea Hm",65
"13.08.2026 22:17",13.08.2026,"Turburea Hm",65
"13.08.2026 22:17",13.08.2026,"Turburea Hm",65
"13.08.2026 22:17",13.08.2026,"Turburea Hm",65
"13.08.2026 22:17",13.08.2026,"Turburea Hm",65
"14.08.2026 22:46",14.08.2026,"Turburea Hm",10
"14.08.2026 22:46",14.08.2026,"Turburea Hm",10
"14.08.2026 22:46",14.08.2026,"Turburea Hm",10
"14.08.2026 22:46",14.08.2026,"Turburea Hm",10
"14.08.2026 22:46",14.08.2026,"Turburea Hm",10
"14.08.2026 22:46",14.08.2026,"Turburea Hm",10
"15.08.2026 22:34",15.08.2026,"Turburea Hm",132
"15.08.2026 22:34",15.08.2026,"Turburea Hm",132
"15.08.2026 22:34",15.08.2026,"Turburea Hm",132
"15.08.2026 22:34",15.08.2026,"Turburea Hm",132
"15.08.2026 22:34",15.08.2026,"Turburea Hm",132
"15.08.2026 22:34",15.08.2026,"Turburea Hm",132
"16.08.2026 22:10",16.08.2026,"Turburea Hm",7
"16.08.2026 22:10",16.08.2026,"Turburea Hm",7
"16.08.2026 22:10",16.08.2026,"Turburea Hm",7
"16.08.2026 22:10",16.08.2026,"Turburea Hm",7
"16.08.2026 22:10",16.08.2026,"Turburea Hm",7
"16.08.2026 22:10",16.08.2026,"Turburea Hm",7
"17.08.2026 21:45",17.08.2026,"Turburea Hm",138
"17.08.2026 21:45",17.08.2026,"Turburea Hm",138
"17.08.2026 21:45",17.08.2026,"Turburea Hm",138
"17.08.2026 21:45",17.08.2026,"Turburea Hm",138
