currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:09",03.08.2026,"Unguriu hc",160
"04.08.2026 07:09",03.08.2026,"Unguriu hc",160
"04.08.2026 07:09",03.08.2026,"Unguriu hc",160
"05.08.2026 10:00",04.08.2026,"Unguriu hc",0
"05.08.2026 10:00",04.08.2026,"Unguriu hc",0
"05.08.2026 10:00",04.08.2026,"Unguriu hc",0
"05.08.2026 23:02",05.08.2026,"Unguriu hc",57
"05.08.2026 23:02",05.08.2026,"Unguriu hc",57
"05.08.2026 23:02",05.08.2026,"Unguriu hc",57
"05.08.2026 23:02",05.08.2026,"Unguriu hc",57
"07.08.2026 01:23",06.08.2026,"Unguriu hc",0
"07.08.2026 01:23",06.08.2026,"Unguriu hc",0
"07.08.2026 01:23",06.08.2026,"Unguriu hc",0
"07.08.2026 01:23",06.08.2026,"Unguriu hc",0
"07.08.2026 01:23",06.08.2026,"Unguriu hc",0
"07.08.2026 22:32",07.08.2026,"Unguriu hc",0
"07.08.2026 22:32",07.08.2026,"Unguriu hc",0
"07.08.2026 22:32",07.08.2026,"Unguriu hc",0
"07.08.2026 22:32",07.08.2026,"Unguriu hc",0
"07.08.2026 22:32",07.08.2026,"Unguriu hc",0
"07.08.2026 22:32",07.08.2026,"Unguriu hc",0
"08.08.2026 21:50",08.08.2026,"Unguriu hc",0
"08.08.2026 21:50",08.08.2026,"Unguriu hc",0
"08.08.2026 21:50",08.08.2026,"Unguriu hc",0
"08.08.2026 21:50",08.08.2026,"Unguriu hc",0
"09.08.2026 22:49",09.08.2026,"Unguriu hc",27
"09.08.2026 22:49",09.08.2026,"Unguriu hc",27
"09.08.2026 22:49",09.08.2026,"Unguriu hc",27
"09.08.2026 22:49",09.08.2026,"Unguriu hc",27
"09.08.2026 22:49",09.08.2026,"Unguriu hc",27
"09.08.2026 22:49",09.08.2026,"Unguriu hc",27
"10.08.2026 22:01",10.08.2026,"Unguriu hc",0
"10.08.2026 22:01",10.08.2026,"Unguriu hc",0
"10.08.2026 22:01",10.08.2026,"Unguriu hc",0
"10.08.2026 22:01",10.08.2026,"Unguriu hc",0
"10.08.2026 22:01",10.08.2026,"Unguriu hc",0
"10.08.2026 22:01",10.08.2026,"Unguriu hc",0
"11.08.2026 23:12",11.08.2026,"Unguriu hc",0
"11.08.2026 23:12",11.08.2026,"Unguriu hc",0
"11.08.2026 23:12",11.08.2026,"Unguriu hc",0
"11.08.2026 23:12",11.08.2026,"Unguriu hc",0
"11.08.2026 23:12",11.08.2026,"Unguriu hc",0
"11.08.2026 23:12",11.08.2026,"Unguriu hc",0
"12.08.2026 23:09",12.08.2026,"Unguriu hc",0
"12.08.2026 23:09",12.08.2026,"Unguriu hc",0
"12.08.2026 23:09",12.08.2026,"Unguriu hc",0
"12.08.2026 23:09",12.08.2026,"Unguriu hc",0
"12.08.2026 23:09",12.08.2026,"Unguriu hc",0
"12.08.2026 23:09",12.08.2026,"Unguriu hc",0
"13.08.2026 22:17",13.08.2026,"Unguriu hc",4
"13.08.2026 22:17",13.08.2026,"Unguriu hc",4
"13.08.2026 22:17",13.08.2026,"Unguriu hc",4
"13.08.2026 22:17",13.08.2026,"Unguriu hc",4
"13.08.2026 22:17",13.08.2026,"Unguriu hc",4
"13.08.2026 22:17",13.08.2026,"Unguriu hc",4
"14.08.2026 22:47",14.08.2026,"Unguriu hc",78
"14.08.2026 22:47",14.08.2026,"Unguriu hc",78
"14.08.2026 22:47",14.08.2026,"Unguriu hc",78
"14.08.2026 22:47",14.08.2026,"Unguriu hc",78
"14.08.2026 22:47",14.08.2026,"Unguriu hc",78
"14.08.2026 22:47",14.08.2026,"Unguriu hc",78
"15.08.2026 22:35",15.08.2026,"Unguriu hc",0
"15.08.2026 22:35",15.08.2026,"Unguriu hc",0
"15.08.2026 22:35",15.08.2026,"Unguriu hc",0
"15.08.2026 22:35",15.08.2026,"Unguriu hc",0
"15.08.2026 22:35",15.08.2026,"Unguriu hc",0
"15.08.2026 22:35",15.08.2026,"Unguriu hc",0
"16.08.2026 22:11",16.08.2026,"Unguriu hc",0
"16.08.2026 22:11",16.08.2026,"Unguriu hc",0
"16.08.2026 22:11",16.08.2026,"Unguriu hc",0
"16.08.2026 22:11",16.08.2026,"Unguriu hc",0
"16.08.2026 22:11",16.08.2026,"Unguriu hc",0
"16.08.2026 22:11",16.08.2026,"Unguriu hc",0
"17.08.2026 21:45",17.08.2026,"Unguriu hc",15
"17.08.2026 21:45",17.08.2026,"Unguriu hc",15
"17.08.2026 21:45",17.08.2026,"Unguriu hc",15
"17.08.2026 21:45",17.08.2026,"Unguriu hc",15
"17.08.2026 21:45",17.08.2026,"Unguriu hc",15
"17.08.2026 21:45",17.08.2026,"Unguriu hc",15
"18.08.2026 22:16",18.08.2026,"Unguriu hc",0
"18.08.2026 22:16",18.08.2026,"Unguriu hc",0
"18.08.2026 22:16",18.08.2026,"Unguriu hc",0
"18.08.2026 22:16",18.08.2026,"Unguriu hc",0
"18.08.2026 22:16",18.08.2026,"Unguriu hc",0
"18.08.2026 22:16",18.08.2026,"Unguriu hc",0
"19.08.2026 22:47",19.08.2026,"Unguriu hc",0
"19.08.2026 22:47",19.08.2026,"Unguriu hc",0
"19.08.2026 22:47",19.08.2026,"Unguriu hc",0
"19.08.2026 22:47",19.08.2026,"Unguriu hc",0
"19.08.2026 22:47",19.08.2026,"Unguriu hc",0
"19.08.2026 22:47",19.08.2026,"Unguriu hc",0
"20.08.2026 22:25",20.08.2026,"Unguriu hc",0
"20.08.2026 22:25",20.08.2026,"Unguriu hc",0
"20.08.2026 22:25",20.08.2026,"Unguriu hc",0
"20.08.2026 22:25",20.08.2026,"Unguriu hc",0
"20.08.2026 22:25",20.08.2026,"Unguriu hc",0
"20.08.2026 22:25",20.08.2026,"Unguriu hc",0
"21.08.2026 22:45",21.08.2026,"Unguriu hc",6
"21.08.2026 22:45",21.08.2026,"Unguriu hc",6
"21.08.2026 22:45",21.08.2026,"Unguriu hc",6
"21.08.2026 22:45",21.08.2026,"Unguriu hc",6
"21.08.2026 22:45",21.08.2026,"Unguriu hc",6
"21.08.2026 22:45",21.08.2026,"Unguriu hc",6
"22.08.2026 21:43",22.08.2026,"Unguriu hc",0
"22.08.2026 21:43",22.08.2026,"Unguriu hc",0
"22.08.2026 21:43",22.08.2026,"Unguriu hc",0
"22.08.2026 21:43",22.08.2026,"Unguriu hc",0
"22.08.2026 21:43",22.08.2026,"Unguriu hc",0
