currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:10",03.08.2026,"Valea Homorod h",108
"04.08.2026 07:10",03.08.2026,"Valea Homorod h",108
"04.08.2026 07:10",03.08.2026,"Valea Homorod h",108
"05.08.2026 10:01",04.08.2026,"Valea Homorod h",89
"05.08.2026 10:01",04.08.2026,"Valea Homorod h",89
"05.08.2026 10:01",04.08.2026,"Valea Homorod h",89
"05.08.2026 23:02",05.08.2026,"Valea Homorod h",145
"05.08.2026 23:02",05.08.2026,"Valea Homorod h",145
"05.08.2026 23:02",05.08.2026,"Valea Homorod h",145
"05.08.2026 23:02",05.08.2026,"Valea Homorod h",145
"07.08.2026 01:24",06.08.2026,"Valea Homorod h",18
"07.08.2026 01:24",06.08.2026,"Valea Homorod h",18
"07.08.2026 01:24",06.08.2026,"Valea Homorod h",18
"07.08.2026 01:24",06.08.2026,"Valea Homorod h",18
"07.08.2026 01:24",06.08.2026,"Valea Homorod h",18
"07.08.2026 22:32",07.08.2026,"Valea Homorod h",69
"07.08.2026 22:32",07.08.2026,"Valea Homorod h",69
"07.08.2026 22:32",07.08.2026,"Valea Homorod h",69
"07.08.2026 22:32",07.08.2026,"Valea Homorod h",69
"07.08.2026 22:32",07.08.2026,"Valea Homorod h",69
"07.08.2026 22:32",07.08.2026,"Valea Homorod h",69
"08.08.2026 21:50",08.08.2026,"Valea Homorod h",4
"08.08.2026 21:50",08.08.2026,"Valea Homorod h",4
"08.08.2026 21:50",08.08.2026,"Valea Homorod h",4
"08.08.2026 21:50",08.08.2026,"Valea Homorod h",4
"09.08.2026 22:49",09.08.2026,"Valea Homorod h",8
"09.08.2026 22:49",09.08.2026,"Valea Homorod h",8
"09.08.2026 22:49",09.08.2026,"Valea Homorod h",8
"09.08.2026 22:49",09.08.2026,"Valea Homorod h",8
"09.08.2026 22:49",09.08.2026,"Valea Homorod h",8
"09.08.2026 22:49",09.08.2026,"Valea Homorod h",8
"10.08.2026 22:02",10.08.2026,"Valea Homorod h",43
"10.08.2026 22:02",10.08.2026,"Valea Homorod h",43
"10.08.2026 22:02",10.08.2026,"Valea Homorod h",43
"10.08.2026 22:02",10.08.2026,"Valea Homorod h",43
"10.08.2026 22:02",10.08.2026,"Valea Homorod h",43
"10.08.2026 22:02",10.08.2026,"Valea Homorod h",43
"11.08.2026 23:13",11.08.2026,"Valea Homorod h",71
"11.08.2026 23:13",11.08.2026,"Valea Homorod h",71
"11.08.2026 23:13",11.08.2026,"Valea Homorod h",71
"11.08.2026 23:13",11.08.2026,"Valea Homorod h",71
"11.08.2026 23:13",11.08.2026,"Valea Homorod h",71
"11.08.2026 23:13",11.08.2026,"Valea Homorod h",71
"12.08.2026 23:10",12.08.2026,"Valea Homorod h",41
"12.08.2026 23:10",12.08.2026,"Valea Homorod h",41
"12.08.2026 23:10",12.08.2026,"Valea Homorod h",41
"12.08.2026 23:10",12.08.2026,"Valea Homorod h",41
"12.08.2026 23:10",12.08.2026,"Valea Homorod h",41
"12.08.2026 23:10",12.08.2026,"Valea Homorod h",41
"13.08.2026 22:18",13.08.2026,"Valea Homorod h",1
"13.08.2026 22:18",13.08.2026,"Valea Homorod h",1
"13.08.2026 22:18",13.08.2026,"Valea Homorod h",1
"13.08.2026 22:18",13.08.2026,"Valea Homorod h",1
"13.08.2026 22:18",13.08.2026,"Valea Homorod h",1
"13.08.2026 22:18",13.08.2026,"Valea Homorod h",1
"14.08.2026 22:48",14.08.2026,"Valea Homorod h",36
"14.08.2026 22:48",14.08.2026,"Valea Homorod h",36
"14.08.2026 22:48",14.08.2026,"Valea Homorod h",36
"14.08.2026 22:48",14.08.2026,"Valea Homorod h",36
"14.08.2026 22:48",14.08.2026,"Valea Homorod h",36
"14.08.2026 22:48",14.08.2026,"Valea Homorod h",36
