currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:14",03.08.2026,"Zimandu Nou hc",80
"04.08.2026 07:14",03.08.2026,"Zimandu Nou hc",80
"04.08.2026 07:14",03.08.2026,"Zimandu Nou hc",80
"05.08.2026 10:05",04.08.2026,"Zimandu Nou hc",627
"05.08.2026 10:05",04.08.2026,"Zimandu Nou hc",627
"05.08.2026 10:05",04.08.2026,"Zimandu Nou hc",627
"05.08.2026 23:05",05.08.2026,"Zimandu Nou hc",548
"05.08.2026 23:05",05.08.2026,"Zimandu Nou hc",548
"05.08.2026 23:05",05.08.2026,"Zimandu Nou hc",548
"05.08.2026 23:05",05.08.2026,"Zimandu Nou hc",548
"07.08.2026 01:28",06.08.2026,"Zimandu Nou hc",224
"07.08.2026 01:28",06.08.2026,"Zimandu Nou hc",224
"07.08.2026 01:28",06.08.2026,"Zimandu Nou hc",224
"07.08.2026 01:28",06.08.2026,"Zimandu Nou hc",224
"07.08.2026 01:28",06.08.2026,"Zimandu Nou hc",224
"07.08.2026 22:35",07.08.2026,"Zimandu Nou hc",81
"07.08.2026 22:35",07.08.2026,"Zimandu Nou hc",81
"07.08.2026 22:35",07.08.2026,"Zimandu Nou hc",81
"07.08.2026 22:35",07.08.2026,"Zimandu Nou hc",81
"07.08.2026 22:35",07.08.2026,"Zimandu Nou hc",81
"07.08.2026 22:35",07.08.2026,"Zimandu Nou hc",81
"08.08.2026 21:51",08.08.2026,"Zimandu Nou hc",22
"08.08.2026 21:51",08.08.2026,"Zimandu Nou hc",22
"08.08.2026 21:51",08.08.2026,"Zimandu Nou hc",22
"08.08.2026 21:51",08.08.2026,"Zimandu Nou hc",22
"09.08.2026 22:53",09.08.2026,"Zimandu Nou hc",74
"09.08.2026 22:53",09.08.2026,"Zimandu Nou hc",74
"09.08.2026 22:53",09.08.2026,"Zimandu Nou hc",74
"09.08.2026 22:53",09.08.2026,"Zimandu Nou hc",74
"09.08.2026 22:53",09.08.2026,"Zimandu Nou hc",74
"09.08.2026 22:53",09.08.2026,"Zimandu Nou hc",74
"10.08.2026 22:02",10.08.2026,"Zimandu Nou hc",93
"10.08.2026 22:02",10.08.2026,"Zimandu Nou hc",93
"10.08.2026 22:02",10.08.2026,"Zimandu Nou hc",93
"10.08.2026 22:02",10.08.2026,"Zimandu Nou hc",93
"10.08.2026 22:02",10.08.2026,"Zimandu Nou hc",93
"10.08.2026 22:02",10.08.2026,"Zimandu Nou hc",93
"11.08.2026 23:17",11.08.2026,"Zimandu Nou hc",124
"11.08.2026 23:17",11.08.2026,"Zimandu Nou hc",124
"11.08.2026 23:17",11.08.2026,"Zimandu Nou hc",124
"11.08.2026 23:17",11.08.2026,"Zimandu Nou hc",124
"11.08.2026 23:17",11.08.2026,"Zimandu Nou hc",124
"11.08.2026 23:17",11.08.2026,"Zimandu Nou hc",124
"12.08.2026 23:13",12.08.2026,"Zimandu Nou hc",20
"12.08.2026 23:13",12.08.2026,"Zimandu Nou hc",20
"12.08.2026 23:13",12.08.2026,"Zimandu Nou hc",20
"12.08.2026 23:13",12.08.2026,"Zimandu Nou hc",20
"12.08.2026 23:13",12.08.2026,"Zimandu Nou hc",20
"12.08.2026 23:13",12.08.2026,"Zimandu Nou hc",20
"13.08.2026 22:21",13.08.2026,"Zimandu Nou hc",22
"13.08.2026 22:21",13.08.2026,"Zimandu Nou hc",22
"13.08.2026 22:21",13.08.2026,"Zimandu Nou hc",22
"13.08.2026 22:21",13.08.2026,"Zimandu Nou hc",22
"13.08.2026 22:21",13.08.2026,"Zimandu Nou hc",22
"13.08.2026 22:21",13.08.2026,"Zimandu Nou hc",22
"14.08.2026 22:52",14.08.2026,"Zimandu Nou hc",45
"14.08.2026 22:52",14.08.2026,"Zimandu Nou hc",45
"14.08.2026 22:52",14.08.2026,"Zimandu Nou hc",45
"14.08.2026 22:52",14.08.2026,"Zimandu Nou hc",45
"14.08.2026 22:52",14.08.2026,"Zimandu Nou hc",45
"14.08.2026 22:52",14.08.2026,"Zimandu Nou hc",45
"15.08.2026 22:39",15.08.2026,"Zimandu Nou hc",64
"15.08.2026 22:39",15.08.2026,"Zimandu Nou hc",64
"15.08.2026 22:39",15.08.2026,"Zimandu Nou hc",64
"15.08.2026 22:39",15.08.2026,"Zimandu Nou hc",64
