currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:13",03.08.2026,"Aluniș Mureș",125
"04.08.2026 06:13",03.08.2026,"Aluniș Mureș",125
"04.08.2026 06:13",03.08.2026,"Aluniș Mureș",125
"05.08.2026 09:03",04.08.2026,"Aluniș Mureș",120
"05.08.2026 09:03",04.08.2026,"Aluniș Mureș",120
"05.08.2026 09:03",04.08.2026,"Aluniș Mureș",120
"05.08.2026 22:27",05.08.2026,"Aluniș Mureș",54
"05.08.2026 22:27",05.08.2026,"Aluniș Mureș",54
"05.08.2026 22:27",05.08.2026,"Aluniș Mureș",54
"05.08.2026 22:27",05.08.2026,"Aluniș Mureș",54
"07.08.2026 00:26",06.08.2026,"Aluniș Mureș",13
"07.08.2026 00:26",06.08.2026,"Aluniș Mureș",13
"07.08.2026 00:26",06.08.2026,"Aluniș Mureș",13
"07.08.2026 00:26",06.08.2026,"Aluniș Mureș",13
"07.08.2026 00:26",06.08.2026,"Aluniș Mureș",13
"07.08.2026 21:56",07.08.2026,"Aluniș Mureș",107
"07.08.2026 21:56",07.08.2026,"Aluniș Mureș",107
"07.08.2026 21:56",07.08.2026,"Aluniș Mureș",107
"07.08.2026 21:56",07.08.2026,"Aluniș Mureș",107
"07.08.2026 21:56",07.08.2026,"Aluniș Mureș",107
"07.08.2026 21:56",07.08.2026,"Aluniș Mureș",107
"08.08.2026 21:39",08.08.2026,"Aluniș Mureș",47
"08.08.2026 21:39",08.08.2026,"Aluniș Mureș",47
"08.08.2026 21:39",08.08.2026,"Aluniș Mureș",47
"08.08.2026 21:39",08.08.2026,"Aluniș Mureș",47
"09.08.2026 21:56",09.08.2026,"Aluniș Mureș",29
"09.08.2026 21:56",09.08.2026,"Aluniș Mureș",29
"09.08.2026 21:56",09.08.2026,"Aluniș Mureș",29
"09.08.2026 21:56",09.08.2026,"Aluniș Mureș",29
"09.08.2026 21:56",09.08.2026,"Aluniș Mureș",29
"09.08.2026 21:56",09.08.2026,"Aluniș Mureș",29
"10.08.2026 21:51",10.08.2026,"Aluniș Mureș",95
"10.08.2026 21:51",10.08.2026,"Aluniș Mureș",95
"10.08.2026 21:51",10.08.2026,"Aluniș Mureș",95
"10.08.2026 21:51",10.08.2026,"Aluniș Mureș",95
"10.08.2026 21:51",10.08.2026,"Aluniș Mureș",95
"10.08.2026 21:51",10.08.2026,"Aluniș Mureș",95
"11.08.2026 22:14",11.08.2026,"Aluniș Mureș",81
"11.08.2026 22:14",11.08.2026,"Aluniș Mureș",81
"11.08.2026 22:14",11.08.2026,"Aluniș Mureș",81
"11.08.2026 22:14",11.08.2026,"Aluniș Mureș",81
"11.08.2026 22:14",11.08.2026,"Aluniș Mureș",81
"11.08.2026 22:14",11.08.2026,"Aluniș Mureș",81
"12.08.2026 22:12",12.08.2026,"Aluniș Mureș",42
"12.08.2026 22:12",12.08.2026,"Aluniș Mureș",42
"12.08.2026 22:12",12.08.2026,"Aluniș Mureș",42
"12.08.2026 22:12",12.08.2026,"Aluniș Mureș",42
"12.08.2026 22:12",12.08.2026,"Aluniș Mureș",42
"12.08.2026 22:12",12.08.2026,"Aluniș Mureș",42
"13.08.2026 21:55",13.08.2026,"Aluniș Mureș",28
"13.08.2026 21:55",13.08.2026,"Aluniș Mureș",28
"13.08.2026 21:55",13.08.2026,"Aluniș Mureș",28
"13.08.2026 21:55",13.08.2026,"Aluniș Mureș",28
"13.08.2026 21:55",13.08.2026,"Aluniș Mureș",28
"13.08.2026 21:55",13.08.2026,"Aluniș Mureș",28
"14.08.2026 21:49",14.08.2026,"Aluniș Mureș",47
"14.08.2026 21:49",14.08.2026,"Aluniș Mureș",47
"14.08.2026 21:49",14.08.2026,"Aluniș Mureș",47
"14.08.2026 21:49",14.08.2026,"Aluniș Mureș",47
"14.08.2026 21:49",14.08.2026,"Aluniș Mureș",47
"14.08.2026 21:49",14.08.2026,"Aluniș Mureș",47
"15.08.2026 21:44",15.08.2026,"Aluniș Mureș",28
"15.08.2026 21:44",15.08.2026,"Aluniș Mureș",28
"15.08.2026 21:44",15.08.2026,"Aluniș Mureș",28
"15.08.2026 21:44",15.08.2026,"Aluniș Mureș",28
"15.08.2026 21:44",15.08.2026,"Aluniș Mureș",28
"15.08.2026 21:44",15.08.2026,"Aluniș Mureș",28
"16.08.2026 21:37",16.08.2026,"Aluniș Mureș",67
"16.08.2026 21:37",16.08.2026,"Aluniș Mureș",67
"16.08.2026 21:37",16.08.2026,"Aluniș Mureș",67
"16.08.2026 21:37",16.08.2026,"Aluniș Mureș",67
"16.08.2026 21:37",16.08.2026,"Aluniș Mureș",67
"16.08.2026 21:37",16.08.2026,"Aluniș Mureș",67
"17.08.2026 21:33",17.08.2026,"Aluniș Mureș",5
"17.08.2026 21:33",17.08.2026,"Aluniș Mureș",5
"17.08.2026 21:33",17.08.2026,"Aluniș Mureș",5
"17.08.2026 21:33",17.08.2026,"Aluniș Mureș",5
"17.08.2026 21:33",17.08.2026,"Aluniș Mureș",5
"17.08.2026 21:33",17.08.2026,"Aluniș Mureș",5
"18.08.2026 21:42",18.08.2026,"Aluniș Mureș",23
"18.08.2026 21:42",18.08.2026,"Aluniș Mureș",23
"18.08.2026 21:42",18.08.2026,"Aluniș Mureș",23
"18.08.2026 21:42",18.08.2026,"Aluniș Mureș",23
"18.08.2026 21:42",18.08.2026,"Aluniș Mureș",23
"18.08.2026 21:42",18.08.2026,"Aluniș Mureș",23
"19.08.2026 21:50",19.08.2026,"Aluniș Mureș",8
"19.08.2026 21:50",19.08.2026,"Aluniș Mureș",8
"19.08.2026 21:50",19.08.2026,"Aluniș Mureș",8
