currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:19",03.08.2026,"Bodrogu Nou hc",50
"04.08.2026 06:19",03.08.2026,"Bodrogu Nou hc",50
"04.08.2026 06:19",03.08.2026,"Bodrogu Nou hc",50
"05.08.2026 09:09",04.08.2026,"Bodrogu Nou hc",101
"05.08.2026 09:09",04.08.2026,"Bodrogu Nou hc",101
"05.08.2026 09:09",04.08.2026,"Bodrogu Nou hc",101
"05.08.2026 22:31",05.08.2026,"Bodrogu Nou hc",486
"05.08.2026 22:31",05.08.2026,"Bodrogu Nou hc",486
"05.08.2026 22:31",05.08.2026,"Bodrogu Nou hc",486
"05.08.2026 22:31",05.08.2026,"Bodrogu Nou hc",486
"07.08.2026 00:32",06.08.2026,"Bodrogu Nou hc",58
"07.08.2026 00:32",06.08.2026,"Bodrogu Nou hc",58
"07.08.2026 00:32",06.08.2026,"Bodrogu Nou hc",58
"07.08.2026 00:32",06.08.2026,"Bodrogu Nou hc",58
"07.08.2026 00:32",06.08.2026,"Bodrogu Nou hc",58
"07.08.2026 22:00",07.08.2026,"Bodrogu Nou hc",19
"07.08.2026 22:00",07.08.2026,"Bodrogu Nou hc",19
"07.08.2026 22:00",07.08.2026,"Bodrogu Nou hc",19
"07.08.2026 22:00",07.08.2026,"Bodrogu Nou hc",19
