currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:20",03.08.2026,"Borzești Bacău",90
"04.08.2026 06:20",03.08.2026,"Borzești Bacău",90
"04.08.2026 06:20",03.08.2026,"Borzești Bacău",90
"05.08.2026 09:10",04.08.2026,"Borzești Bacău",91
"05.08.2026 09:10",04.08.2026,"Borzești Bacău",91
"05.08.2026 09:10",04.08.2026,"Borzești Bacău",91
"05.08.2026 22:31",05.08.2026,"Borzești Bacău",417
"05.08.2026 22:31",05.08.2026,"Borzești Bacău",417
"05.08.2026 22:31",05.08.2026,"Borzești Bacău",417
"05.08.2026 22:31",05.08.2026,"Borzești Bacău",417
"07.08.2026 00:33",06.08.2026,"Borzești Bacău",95
"07.08.2026 00:33",06.08.2026,"Borzești Bacău",95
"07.08.2026 00:33",06.08.2026,"Borzești Bacău",95
"07.08.2026 00:33",06.08.2026,"Borzești Bacău",95
"07.08.2026 00:33",06.08.2026,"Borzești Bacău",95
"07.08.2026 22:00",07.08.2026,"Borzești Bacău",94
"07.08.2026 22:00",07.08.2026,"Borzești Bacău",94
"07.08.2026 22:00",07.08.2026,"Borzești Bacău",94
"07.08.2026 22:00",07.08.2026,"Borzești Bacău",94
"07.08.2026 22:00",07.08.2026,"Borzești Bacău",94
"07.08.2026 22:00",07.08.2026,"Borzești Bacău",94
"08.08.2026 21:40",08.08.2026,"Borzești Bacău",87
"08.08.2026 21:40",08.08.2026,"Borzești Bacău",87
"08.08.2026 21:40",08.08.2026,"Borzești Bacău",87
"08.08.2026 21:40",08.08.2026,"Borzești Bacău",87
"09.08.2026 22:03",09.08.2026,"Borzești Bacău",76
"09.08.2026 22:03",09.08.2026,"Borzești Bacău",76
"09.08.2026 22:03",09.08.2026,"Borzești Bacău",76
"09.08.2026 22:03",09.08.2026,"Borzești Bacău",76
"09.08.2026 22:03",09.08.2026,"Borzești Bacău",76
"09.08.2026 22:03",09.08.2026,"Borzești Bacău",76
"10.08.2026 21:52",10.08.2026,"Borzești Bacău",70
"10.08.2026 21:52",10.08.2026,"Borzești Bacău",70
"10.08.2026 21:52",10.08.2026,"Borzești Bacău",70
"10.08.2026 21:52",10.08.2026,"Borzești Bacău",70
"10.08.2026 21:52",10.08.2026,"Borzești Bacău",70
"10.08.2026 21:52",10.08.2026,"Borzești Bacău",70
"11.08.2026 22:21",11.08.2026,"Borzești Bacău",142
"11.08.2026 22:21",11.08.2026,"Borzești Bacău",142
"11.08.2026 22:21",11.08.2026,"Borzești Bacău",142
"11.08.2026 22:21",11.08.2026,"Borzești Bacău",142
"11.08.2026 22:21",11.08.2026,"Borzești Bacău",142
"11.08.2026 22:21",11.08.2026,"Borzești Bacău",142
"12.08.2026 22:19",12.08.2026,"Borzești Bacău",167
"12.08.2026 22:19",12.08.2026,"Borzești Bacău",167
"12.08.2026 22:19",12.08.2026,"Borzești Bacău",167
"12.08.2026 22:19",12.08.2026,"Borzești Bacău",167
"12.08.2026 22:19",12.08.2026,"Borzești Bacău",167
