currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:24",03.08.2026,"Călan Băi",45
"04.08.2026 06:24",03.08.2026,"Călan Băi",45
"04.08.2026 06:24",03.08.2026,"Călan Băi",45
"05.08.2026 09:14",04.08.2026,"Călan Băi",92
"05.08.2026 09:14",04.08.2026,"Călan Băi",92
"05.08.2026 09:14",04.08.2026,"Călan Băi",92
"05.08.2026 22:34",05.08.2026,"Călan Băi",27
"05.08.2026 22:34",05.08.2026,"Călan Băi",27
"05.08.2026 22:34",05.08.2026,"Călan Băi",27
"05.08.2026 22:34",05.08.2026,"Călan Băi",27
"07.08.2026 00:37",06.08.2026,"Călan Băi",99
"07.08.2026 00:37",06.08.2026,"Călan Băi",99
"07.08.2026 00:37",06.08.2026,"Călan Băi",99
"07.08.2026 00:37",06.08.2026,"Călan Băi",99
"07.08.2026 00:37",06.08.2026,"Călan Băi",99
"07.08.2026 22:03",07.08.2026,"Călan Băi",53
"07.08.2026 22:03",07.08.2026,"Călan Băi",53
"07.08.2026 22:03",07.08.2026,"Călan Băi",53
"07.08.2026 22:03",07.08.2026,"Călan Băi",53
"07.08.2026 22:03",07.08.2026,"Călan Băi",53
"07.08.2026 22:03",07.08.2026,"Călan Băi",53
"08.08.2026 21:41",08.08.2026,"Călan Băi",27
"08.08.2026 21:41",08.08.2026,"Călan Băi",27
"08.08.2026 21:41",08.08.2026,"Călan Băi",27
"08.08.2026 21:41",08.08.2026,"Călan Băi",27
"09.08.2026 22:06",09.08.2026,"Călan Băi",16
"09.08.2026 22:06",09.08.2026,"Călan Băi",16
"09.08.2026 22:06",09.08.2026,"Călan Băi",16
"09.08.2026 22:06",09.08.2026,"Călan Băi",16
"09.08.2026 22:06",09.08.2026,"Călan Băi",16
"09.08.2026 22:06",09.08.2026,"Călan Băi",16
"10.08.2026 21:53",10.08.2026,"Călan Băi",8
"10.08.2026 21:53",10.08.2026,"Călan Băi",8
"10.08.2026 21:53",10.08.2026,"Călan Băi",8
"10.08.2026 21:53",10.08.2026,"Călan Băi",8
"10.08.2026 21:53",10.08.2026,"Călan Băi",8
"10.08.2026 21:53",10.08.2026,"Călan Băi",8
"11.08.2026 22:25",11.08.2026,"Călan Băi",36
"11.08.2026 22:25",11.08.2026,"Călan Băi",36
"11.08.2026 22:25",11.08.2026,"Călan Băi",36
"11.08.2026 22:25",11.08.2026,"Călan Băi",36
"11.08.2026 22:25",11.08.2026,"Călan Băi",36
"11.08.2026 22:25",11.08.2026,"Călan Băi",36
"12.08.2026 22:23",12.08.2026,"Călan Băi",26
"12.08.2026 22:23",12.08.2026,"Călan Băi",26
"12.08.2026 22:23",12.08.2026,"Călan Băi",26
"12.08.2026 22:23",12.08.2026,"Călan Băi",26
