currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:04",03.08.2026,"Ilva Mică",143
"04.08.2026 06:04",03.08.2026,"Ilva Mică",143
"04.08.2026 06:04",03.08.2026,"Ilva Mică",143
"05.08.2026 08:54",04.08.2026,"Ilva Mică",168
"05.08.2026 08:54",04.08.2026,"Ilva Mică",168
"05.08.2026 08:54",04.08.2026,"Ilva Mică",168
"05.08.2026 22:21",05.08.2026,"Ilva Mică",314
"05.08.2026 22:21",05.08.2026,"Ilva Mică",314
"05.08.2026 22:21",05.08.2026,"Ilva Mică",314
"05.08.2026 22:21",05.08.2026,"Ilva Mică",314
"07.08.2026 00:17",06.08.2026,"Ilva Mică",348
"07.08.2026 00:17",06.08.2026,"Ilva Mică",348
"07.08.2026 00:17",06.08.2026,"Ilva Mică",348
"07.08.2026 00:17",06.08.2026,"Ilva Mică",348
"07.08.2026 00:17",06.08.2026,"Ilva Mică",348
"07.08.2026 21:51",07.08.2026,"Ilva Mică",252
"07.08.2026 21:51",07.08.2026,"Ilva Mică",252
"07.08.2026 21:51",07.08.2026,"Ilva Mică",252
"07.08.2026 21:51",07.08.2026,"Ilva Mică",252
"07.08.2026 21:51",07.08.2026,"Ilva Mică",252
"07.08.2026 21:51",07.08.2026,"Ilva Mică",252
"08.08.2026 21:37",08.08.2026,"Ilva Mică",177
"08.08.2026 21:37",08.08.2026,"Ilva Mică",177
"08.08.2026 21:37",08.08.2026,"Ilva Mică",177
"08.08.2026 21:37",08.08.2026,"Ilva Mică",177
"09.08.2026 21:47",09.08.2026,"Ilva Mică",405
"09.08.2026 21:47",09.08.2026,"Ilva Mică",405
"09.08.2026 21:47",09.08.2026,"Ilva Mică",405
