currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:45",03.08.2026,"Merișani Hm",101
"04.08.2026 06:45",03.08.2026,"Merișani Hm",101
"04.08.2026 06:45",03.08.2026,"Merișani Hm",101
"05.08.2026 09:35",04.08.2026,"Merișani Hm",128
"05.08.2026 09:35",04.08.2026,"Merișani Hm",128
"05.08.2026 09:35",04.08.2026,"Merișani Hm",128
"05.08.2026 22:47",05.08.2026,"Merișani Hm",289
"05.08.2026 22:47",05.08.2026,"Merișani Hm",289
"05.08.2026 22:47",05.08.2026,"Merișani Hm",289
"05.08.2026 22:47",05.08.2026,"Merișani Hm",289
"07.08.2026 00:58",06.08.2026,"Merișani Hm",87
"07.08.2026 00:58",06.08.2026,"Merișani Hm",87
