currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:45",03.08.2026,"Mioveni hc",8
"04.08.2026 06:45",03.08.2026,"Mioveni hc",8
"04.08.2026 06:45",03.08.2026,"Mioveni hc",8
"05.08.2026 09:36",04.08.2026,"Mioveni hc",12
"05.08.2026 09:36",04.08.2026,"Mioveni hc",12
"05.08.2026 09:36",04.08.2026,"Mioveni hc",12
"05.08.2026 22:47",05.08.2026,"Mioveni hc",5
"05.08.2026 22:47",05.08.2026,"Mioveni hc",5
"05.08.2026 22:47",05.08.2026,"Mioveni hc",5
"05.08.2026 22:47",05.08.2026,"Mioveni hc",5
"07.08.2026 00:59",06.08.2026,"Mioveni hc",3
"07.08.2026 00:59",06.08.2026,"Mioveni hc",3
"07.08.2026 00:59",06.08.2026,"Mioveni hc",3
"07.08.2026 00:59",06.08.2026,"Mioveni hc",3
"07.08.2026 00:59",06.08.2026,"Mioveni hc",3
"07.08.2026 22:17",07.08.2026,"Mioveni hc",9
"07.08.2026 22:17",07.08.2026,"Mioveni hc",9
"07.08.2026 22:17",07.08.2026,"Mioveni hc",9
"07.08.2026 22:17",07.08.2026,"Mioveni hc",9
"07.08.2026 22:17",07.08.2026,"Mioveni hc",9
"07.08.2026 22:17",07.08.2026,"Mioveni hc",9
"09.08.2026 22:26",09.08.2026,"Mioveni hc",0
"09.08.2026 22:26",09.08.2026,"Mioveni hc",0
