currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:47",03.08.2026,"Murfatlar hc",189
"04.08.2026 06:47",03.08.2026,"Murfatlar hc",189
"04.08.2026 06:47",03.08.2026,"Murfatlar hc",189
"05.08.2026 09:37",04.08.2026,"Murfatlar hc",106
"05.08.2026 09:37",04.08.2026,"Murfatlar hc",106
"05.08.2026 09:37",04.08.2026,"Murfatlar hc",106
"05.08.2026 22:48",05.08.2026,"Murfatlar hc",103
"05.08.2026 22:48",05.08.2026,"Murfatlar hc",103
"05.08.2026 22:48",05.08.2026,"Murfatlar hc",103
"05.08.2026 22:48",05.08.2026,"Murfatlar hc",103
