currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:48",03.08.2026,"Nicolae Bălcescu",85
"04.08.2026 06:48",03.08.2026,"Nicolae Bălcescu",85
"04.08.2026 06:48",03.08.2026,"Nicolae Bălcescu",85
"05.08.2026 09:38",04.08.2026,"Nicolae Bălcescu",39
"05.08.2026 09:38",04.08.2026,"Nicolae Bălcescu",39
"05.08.2026 09:38",04.08.2026,"Nicolae Bălcescu",39
"05.08.2026 22:49",05.08.2026,"Nicolae Bălcescu",30
"05.08.2026 22:49",05.08.2026,"Nicolae Bălcescu",30
"05.08.2026 22:49",05.08.2026,"Nicolae Bălcescu",30
"05.08.2026 22:49",05.08.2026,"Nicolae Bălcescu",30
"07.08.2026 01:01",06.08.2026,"Nicolae Bălcescu",10
"07.08.2026 01:01",06.08.2026,"Nicolae Bălcescu",10
"07.08.2026 01:01",06.08.2026,"Nicolae Bălcescu",10
"07.08.2026 01:01",06.08.2026,"Nicolae Bălcescu",10
"07.08.2026 01:01",06.08.2026,"Nicolae Bălcescu",10
"07.08.2026 22:19",07.08.2026,"Nicolae Bălcescu",148
"07.08.2026 22:19",07.08.2026,"Nicolae Bălcescu",148
"07.08.2026 22:19",07.08.2026,"Nicolae Bălcescu",148
"07.08.2026 22:19",07.08.2026,"Nicolae Bălcescu",148
