currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:51",03.08.2026,Perișoru,74
"04.08.2026 06:51",03.08.2026,Perișoru,74
"04.08.2026 06:51",03.08.2026,Perișoru,74
"05.08.2026 09:42",04.08.2026,Perișoru,55
"05.08.2026 09:42",04.08.2026,Perișoru,55
"05.08.2026 09:42",04.08.2026,Perișoru,55
"05.08.2026 22:51",05.08.2026,Perișoru,119
"05.08.2026 22:51",05.08.2026,Perișoru,119
"05.08.2026 22:51",05.08.2026,Perișoru,119
"05.08.2026 22:51",05.08.2026,Perișoru,119
"07.08.2026 01:05",06.08.2026,Perișoru,299
"07.08.2026 01:05",06.08.2026,Perișoru,299
"07.08.2026 01:05",06.08.2026,Perișoru,299
"07.08.2026 01:05",06.08.2026,Perișoru,299
"07.08.2026 01:05",06.08.2026,Perișoru,299
"07.08.2026 22:21",07.08.2026,Perișoru,99
"07.08.2026 22:21",07.08.2026,Perișoru,99
"07.08.2026 22:21",07.08.2026,Perișoru,99
