currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 06:58",03.08.2026,"Satulung pe Someș",145
"04.08.2026 06:58",03.08.2026,"Satulung pe Someș",145
"04.08.2026 06:58",03.08.2026,"Satulung pe Someș",145
"05.08.2026 09:49",04.08.2026,"Satulung pe Someș",306
"05.08.2026 09:49",04.08.2026,"Satulung pe Someș",306
"05.08.2026 09:49",04.08.2026,"Satulung pe Someș",306
"05.08.2026 22:55",05.08.2026,"Satulung pe Someș",249
"05.08.2026 22:55",05.08.2026,"Satulung pe Someș",249
"05.08.2026 22:55",05.08.2026,"Satulung pe Someș",249
"05.08.2026 22:55",05.08.2026,"Satulung pe Someș",249
"07.08.2026 01:12",06.08.2026,"Satulung pe Someș",301
"07.08.2026 01:12",06.08.2026,"Satulung pe Someș",301
"07.08.2026 01:12",06.08.2026,"Satulung pe Someș",301
"07.08.2026 01:12",06.08.2026,"Satulung pe Someș",301
"07.08.2026 01:12",06.08.2026,"Satulung pe Someș",301
"07.08.2026 22:25",07.08.2026,"Satulung pe Someș",224
"07.08.2026 22:25",07.08.2026,"Satulung pe Someș",224
"07.08.2026 22:25",07.08.2026,"Satulung pe Someș",224
"07.08.2026 22:25",07.08.2026,"Satulung pe Someș",224
"07.08.2026 22:25",07.08.2026,"Satulung pe Someș",224
"07.08.2026 22:25",07.08.2026,"Satulung pe Someș",224
"08.08.2026 21:47",08.08.2026,"Satulung pe Someș",44
"08.08.2026 21:47",08.08.2026,"Satulung pe Someș",44
"08.08.2026 21:47",08.08.2026,"Satulung pe Someș",44
"08.08.2026 21:47",08.08.2026,"Satulung pe Someș",44
"09.08.2026 22:38",09.08.2026,"Satulung pe Someș",33
"09.08.2026 22:38",09.08.2026,"Satulung pe Someș",33
"09.08.2026 22:38",09.08.2026,"Satulung pe Someș",33
"09.08.2026 22:38",09.08.2026,"Satulung pe Someș",33
"09.08.2026 22:38",09.08.2026,"Satulung pe Someș",33
"09.08.2026 22:38",09.08.2026,"Satulung pe Someș",33
"10.08.2026 22:00",10.08.2026,"Satulung pe Someș",175
"10.08.2026 22:00",10.08.2026,"Satulung pe Someș",175
"10.08.2026 22:00",10.08.2026,"Satulung pe Someș",175
"10.08.2026 22:00",10.08.2026,"Satulung pe Someș",175
"10.08.2026 22:00",10.08.2026,"Satulung pe Someș",175
"10.08.2026 22:00",10.08.2026,"Satulung pe Someș",175
"11.08.2026 23:00",11.08.2026,"Satulung pe Someș",204
