currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:06",03.08.2026,"Târnava h",265
"04.08.2026 07:06",03.08.2026,"Târnava h",265
"04.08.2026 07:06",03.08.2026,"Târnava h",265
"05.08.2026 09:57",04.08.2026,"Târnava h",318
"05.08.2026 09:57",04.08.2026,"Târnava h",318
"05.08.2026 09:57",04.08.2026,"Târnava h",318
"05.08.2026 23:00",05.08.2026,"Târnava h",173
"05.08.2026 23:00",05.08.2026,"Târnava h",173
"05.08.2026 23:00",05.08.2026,"Târnava h",173
"05.08.2026 23:00",05.08.2026,"Târnava h",173
"07.08.2026 01:20",06.08.2026,"Târnava h",527
"07.08.2026 01:20",06.08.2026,"Târnava h",527
"07.08.2026 01:20",06.08.2026,"Târnava h",527
"07.08.2026 01:20",06.08.2026,"Târnava h",527
"07.08.2026 01:20",06.08.2026,"Târnava h",527
"07.08.2026 22:30",07.08.2026,"Târnava h",151
