currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:04",03.08.2026,"Șercaia hc",132
"04.08.2026 07:04",03.08.2026,"Șercaia hc",132
"04.08.2026 07:04",03.08.2026,"Șercaia hc",132
"05.08.2026 09:55",04.08.2026,"Șercaia hc",94
"05.08.2026 09:55",04.08.2026,"Șercaia hc",94
"05.08.2026 09:55",04.08.2026,"Șercaia hc",94
"05.08.2026 22:59",05.08.2026,"Șercaia hc",138
"05.08.2026 22:59",05.08.2026,"Șercaia hc",138
"05.08.2026 22:59",05.08.2026,"Șercaia hc",138
"05.08.2026 22:59",05.08.2026,"Șercaia hc",138
"07.08.2026 01:18",06.08.2026,"Șercaia hc",10
"07.08.2026 01:18",06.08.2026,"Șercaia hc",10
"07.08.2026 01:18",06.08.2026,"Șercaia hc",10
"07.08.2026 01:18",06.08.2026,"Șercaia hc",10
"07.08.2026 01:18",06.08.2026,"Șercaia hc",10
"07.08.2026 22:29",07.08.2026,"Șercaia hc",51
"07.08.2026 22:29",07.08.2026,"Șercaia hc",51
"07.08.2026 22:29",07.08.2026,"Șercaia hc",51
"07.08.2026 22:29",07.08.2026,"Șercaia hc",51
"07.08.2026 22:29",07.08.2026,"Șercaia hc",51
"07.08.2026 22:29",07.08.2026,"Șercaia hc",51
"08.08.2026 21:48",08.08.2026,"Șercaia hc",5
"08.08.2026 21:48",08.08.2026,"Șercaia hc",5
"08.08.2026 21:48",08.08.2026,"Șercaia hc",5
"08.08.2026 21:48",08.08.2026,"Șercaia hc",5
"09.08.2026 22:44",09.08.2026,"Șercaia hc",3
"09.08.2026 22:44",09.08.2026,"Șercaia hc",3
"09.08.2026 22:44",09.08.2026,"Șercaia hc",3
"09.08.2026 22:44",09.08.2026,"Șercaia hc",3
"09.08.2026 22:44",09.08.2026,"Șercaia hc",3
"09.08.2026 22:44",09.08.2026,"Șercaia hc",3
"10.08.2026 22:01",10.08.2026,"Șercaia hc",23
"10.08.2026 22:01",10.08.2026,"Șercaia hc",23
"10.08.2026 22:01",10.08.2026,"Șercaia hc",23
"10.08.2026 22:01",10.08.2026,"Șercaia hc",23
"10.08.2026 22:01",10.08.2026,"Șercaia hc",23
"10.08.2026 22:01",10.08.2026,"Șercaia hc",23
"11.08.2026 23:06",11.08.2026,"Șercaia hc",63
"11.08.2026 23:06",11.08.2026,"Șercaia hc",63
"11.08.2026 23:06",11.08.2026,"Șercaia hc",63
"11.08.2026 23:06",11.08.2026,"Șercaia hc",63
"11.08.2026 23:06",11.08.2026,"Șercaia hc",63
"11.08.2026 23:06",11.08.2026,"Șercaia hc",63
"12.08.2026 23:04",12.08.2026,"Șercaia hc",49
"12.08.2026 23:04",12.08.2026,"Șercaia hc",49
"12.08.2026 23:04",12.08.2026,"Șercaia hc",49
"12.08.2026 23:04",12.08.2026,"Șercaia hc",49
"12.08.2026 23:04",12.08.2026,"Șercaia hc",49
"12.08.2026 23:04",12.08.2026,"Șercaia hc",49
"13.08.2026 22:14",13.08.2026,"Șercaia hc",0
"13.08.2026 22:14",13.08.2026,"Șercaia hc",0
"13.08.2026 22:14",13.08.2026,"Șercaia hc",0
"13.08.2026 22:14",13.08.2026,"Șercaia hc",0
"13.08.2026 22:14",13.08.2026,"Șercaia hc",0
"13.08.2026 22:14",13.08.2026,"Șercaia hc",0
"14.08.2026 22:41",14.08.2026,"Șercaia hc",32
"14.08.2026 22:41",14.08.2026,"Șercaia hc",32
"14.08.2026 22:41",14.08.2026,"Șercaia hc",32
"14.08.2026 22:41",14.08.2026,"Șercaia hc",32
"14.08.2026 22:41",14.08.2026,"Șercaia hc",32
"14.08.2026 22:41",14.08.2026,"Șercaia hc",32
"15.08.2026 22:30",15.08.2026,"Șercaia hc",22
"15.08.2026 22:30",15.08.2026,"Șercaia hc",22
"15.08.2026 22:30",15.08.2026,"Șercaia hc",22
"15.08.2026 22:30",15.08.2026,"Șercaia hc",22
"15.08.2026 22:30",15.08.2026,"Șercaia hc",22
"15.08.2026 22:30",15.08.2026,"Șercaia hc",22
"16.08.2026 22:08",16.08.2026,"Șercaia hc",3
"16.08.2026 22:08",16.08.2026,"Șercaia hc",3
"16.08.2026 22:08",16.08.2026,"Șercaia hc",3
"16.08.2026 22:08",16.08.2026,"Șercaia hc",3
"16.08.2026 22:08",16.08.2026,"Șercaia hc",3
"16.08.2026 22:08",16.08.2026,"Șercaia hc",3
"17.08.2026 21:44",17.08.2026,"Șercaia hc",105
