currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:04",03.08.2026,"Șugău h",52
"04.08.2026 07:04",03.08.2026,"Șugău h",52
"04.08.2026 07:04",03.08.2026,"Șugău h",52
"05.08.2026 09:56",04.08.2026,"Șugău h",104
"05.08.2026 09:56",04.08.2026,"Șugău h",104
"05.08.2026 09:56",04.08.2026,"Șugău h",104
"05.08.2026 22:59",05.08.2026,"Șugău h",65
"05.08.2026 22:59",05.08.2026,"Șugău h",65
"05.08.2026 22:59",05.08.2026,"Șugău h",65
"05.08.2026 22:59",05.08.2026,"Șugău h",65
"07.08.2026 01:19",06.08.2026,"Șugău h",20
"07.08.2026 01:19",06.08.2026,"Șugău h",20
"07.08.2026 01:19",06.08.2026,"Șugău h",20
"07.08.2026 01:19",06.08.2026,"Șugău h",20
"07.08.2026 01:19",06.08.2026,"Șugău h",20
"07.08.2026 22:29",07.08.2026,"Șugău h",50
"07.08.2026 22:29",07.08.2026,"Șugău h",50
"07.08.2026 22:29",07.08.2026,"Șugău h",50
"07.08.2026 22:29",07.08.2026,"Șugău h",50
"07.08.2026 22:29",07.08.2026,"Șugău h",50
"07.08.2026 22:29",07.08.2026,"Șugău h",50
"08.08.2026 21:49",08.08.2026,"Șugău h",0
"08.08.2026 21:49",08.08.2026,"Șugău h",0
"08.08.2026 21:49",08.08.2026,"Șugău h",0
"08.08.2026 21:49",08.08.2026,"Șugău h",0
"09.08.2026 22:45",09.08.2026,"Șugău h",0
"09.08.2026 22:45",09.08.2026,"Șugău h",0
"09.08.2026 22:45",09.08.2026,"Șugău h",0
"09.08.2026 22:45",09.08.2026,"Șugău h",0
"09.08.2026 22:45",09.08.2026,"Șugău h",0
