currentTimestamp,cfr_date,station,totalDelayMinutes
"04.08.2026 07:08",03.08.2026,"Țibeni hc",4
"04.08.2026 07:08",03.08.2026,"Țibeni hc",4
"04.08.2026 07:08",03.08.2026,"Țibeni hc",4
"05.08.2026 09:59",04.08.2026,"Țibeni hc",47
"05.08.2026 09:59",04.08.2026,"Țibeni hc",47
"05.08.2026 09:59",04.08.2026,"Țibeni hc",47
"05.08.2026 23:02",05.08.2026,"Țibeni hc",8
"05.08.2026 23:02",05.08.2026,"Țibeni hc",8
"05.08.2026 23:02",05.08.2026,"Țibeni hc",8
"05.08.2026 23:02",05.08.2026,"Țibeni hc",8
"07.08.2026 01:23",06.08.2026,"Țibeni hc",9
"07.08.2026 01:23",06.08.2026,"Țibeni hc",9
"07.08.2026 01:23",06.08.2026,"Țibeni hc",9
"07.08.2026 01:23",06.08.2026,"Țibeni hc",9
"07.08.2026 01:23",06.08.2026,"Țibeni hc",9
"07.08.2026 22:31",07.08.2026,"Țibeni hc",4
"07.08.2026 22:31",07.08.2026,"Țibeni hc",4
